method,n_runs,mean_nv,median_nv,mean_unseen_rate,mean_behavior_prob
Bandit IPS support top3,10,0.40388641473014336,0.4126600907578103,0.0,0.8497747522984065
Bandit DM support top3,10,0.2280311955720733,0.2269371652404068,0.0,0.8600262467235664
Bandit DR support top3,10,0.22780225942159987,0.2269371652404068,0.0,0.8631029078994004
"Bandit oracle (myopic, true R)",10,0.0,0.0,0.101,0.8414393480548229
Bandit DR,10,-1.8270746300783265,-1.8194105729874923,0.9875,0.007281628073664381
Bandit DM,10,-1.8286638980616423,-1.8273569129040723,0.9875,0.00743559536439174
Bandit IPS,10,-2.9650712511465995,-2.8891320344532945,0.9955,0.004483812259743414
