gate,cell_id,N,noise,seed,method,family,v_policy,v_behaviour_expected,v_optimal_same_start,nv,selected_unseen_rate,mean_behavior_prob,mean_logged_count,support_mask,bandit_updates,w_clip
gate2D_bandit,N100_noise0p05,100,0.05,4,Bandit IPS,Bandit,274.1601662629835,415.8730447844656,474.3155353853144,-2.4248261335978007,0.9825,0.0239808153477218,0.07375,none,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,4,Bandit IPS support top3,Bandit,427.4178068358323,415.8730447844656,474.3155353853144,0.1975405553848699,0.0,0.895845238095238,12.28,top3,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,4,Bandit DR,Bandit,310.2534692527598,415.8730447844656,474.3155353853144,-1.8072394664537408,0.98375,0.0066115702479338,0.03375,none,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,4,Bandit DR support top3,Bandit,426.9513127247599,415.8730447844656,474.3155353853144,0.1895584501344534,0.0,0.8689940476190475,11.63625,top3,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,4,"Bandit oracle (myopic, true R)",Bandit,415.8730447844656,415.8730447844656,474.3155353853144,0.0,0.16125,0.8447698566529638,11.135,none,,
gate2D_bandit,N100_noise0p05,100,0.05,5,Bandit DM,Bandit,307.6763408438809,413.08161086848617,472.4205638661845,-1.7763250731554647,0.98625,0.0103448275862068,0.04125,none,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,5,Bandit DM support top3,Bandit,426.3448510445945,413.08161086848617,472.4205638661845,0.2235165857514002,0.0,0.8643651739263152,10.44375,top3,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,5,Bandit IPS,Bandit,221.6718749613678,413.08161086848617,472.4205638661845,-3.2257012676739136,1.0,0.0,0.0,none,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,5,Bandit IPS support top3,Bandit,430.7111942212953,413.08161086848617,472.4205638661845,0.2970996699839467,0.0,0.844603489807294,10.19,top3,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,5,Bandit DR,Bandit,307.6763408438809,413.08161086848617,472.4205638661845,-1.7763250731554647,0.98625,0.0103448275862068,0.04125,none,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,5,Bandit DR support top3,Bandit,426.3448510445945,413.08161086848617,472.4205638661845,0.2235165857514002,0.0,0.8643651739263152,10.44375,top3,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,5,"Bandit oracle (myopic, true R)",Bandit,413.08161086848617,413.08161086848617,472.4205638661845,0.0,0.0975,0.8628136660846941,10.64625,none,,
gate2D_bandit,N100_noise0p05,100,0.05,6,Bandit DM,Bandit,307.3793326256101,413.5410294620784,472.2493846542733,-1.8082894076818237,0.99625,0.001577287066246,0.00375,none,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,6,Bandit DM support top3,Bandit,430.5270459735502,413.5410294620784,472.2493846542733,0.289328775365351,0.0,0.8696739745999615,11.215,top3,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,6,Bandit IPS,Bandit,221.0611247716475,413.5410294620784,472.2493846542733,-3.2785777094300275,1.0,0.0,0.0,none,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,6,Bandit IPS support top3,Bandit,448.0040394541954,413.5410294620784,472.2493846542733,0.587020533607093,0.0,0.8472981431945249,10.19875,top3,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,6,Bandit DR,Bandit,307.3793326256101,413.5410294620784,472.2493846542733,-1.8082894076818237,0.99625,0.001577287066246,0.00375,none,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,6,Bandit DR support top3,Bandit,430.5270459735502,413.5410294620784,472.2493846542733,0.289328775365351,0.0,0.8696739745999615,11.215,top3,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,6,"Bandit oracle (myopic, true R)",Bandit,413.5410294620784,413.5410294620784,472.2493846542733,0.0,0.2,0.811082995951417,11.98125,none,,
gate2D_bandit,N100_noise0p05,100,0.05,7,Bandit DM,Bandit,317.4091942980453,422.9552853756405,480.1843549282328,-1.844274105847566,0.98625,0.0063091482649842,0.02625,none,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,7,Bandit DM support top3,Bandit,433.66392609909,422.9552853756405,480.1843549282328,0.1871189031582714,0.0,0.8801310637891521,11.37625,top3,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,7,Bandit IPS,Bandit,228.2155744451364,422.9552853756405,480.1843549282328,-3.402811061807368,1.0,0.0,0.0,none,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,7,Bandit IPS support top3,Bandit,451.3014507209822,422.9552853756405,480.1843549282328,0.4953106099216266,0.0,0.8379885143451321,7.955,top3,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,7,Bandit DR,Bandit,318.31871757759427,422.9552853756405,480.1843549282328,-1.8283814260144065,0.98625,0.0047694753577106,0.02,none,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,7,Bandit DR support top3,Bandit,435.3557556564479,422.9552853756405,480.1843549282328,0.2166813190875236,0.0,0.9040464850713013,11.9025,top3,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,7,"Bandit oracle (myopic, true R)",Bandit,422.9552853756405,422.9552853756405,480.1843549282328,0.0,0.04875,0.840601686248662,12.03875,none,,
gate2D_bandit,N100_noise0p05,100,0.05,8,Bandit DM,Bandit,306.42556234847666,414.15142866616,472.41867197590335,-1.8488238021665515,0.9875,0.0063897763578274,0.025,none,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,8,Bandit DM support top3,Bandit,427.57373942659245,414.15142866616,472.41867197590335,0.2303577447294133,0.0,0.8878520149545324,13.0525,top3,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,8,Bandit IPS,Bandit,305.3341344130179,414.15142866616,472.41867197590335,-1.867555217511822,0.9875,0.0094936708860759,0.04,none,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,8,Bandit IPS support top3,Bandit,442.41753820159886,414.15142866616,472.41867197590335,0.4851114954105313,0.0,0.8465610914474485,11.965,top3,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,8,Bandit DR,Bandit,306.42556234847666,414.15142866616,472.41867197590335,-1.8488238021665515,0.9875,0.0063897763578274,0.025,none,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,8,Bandit DR support top3,Bandit,427.57373942659245,414.15142866616,472.41867197590335,0.2303577447294133,0.0,0.8878520149545324,13.0525,top3,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,8,"Bandit oracle (myopic, true R)",Bandit,414.15142866616,414.15142866616,472.41867197590335,0.0,0.19875,0.859053613096385,12.47,none,,
gate2D_bandit,N100_noise0p05,100,0.05,9,Bandit DM,Bandit,317.0907775080625,420.6824583962237,477.90153050673655,-1.8104397199605784,0.99375,0.0030864197530864,0.0125,none,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,9,Bandit DM support top3,Bandit,436.1078782704046,420.6824583962237,477.90153050673655,0.2695852852067984,0.0,0.8675642586580088,10.07875,top3,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,9,Bandit IPS,Bandit,280.11140174820224,420.6824583962237,477.90153050673655,-2.4567168159686767,1.0,0.0,0.0,none,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,9,Bandit IPS support top3,Bandit,454.6392699171583,420.6824583962237,477.90153050673655,0.5934526770261228,0.0,0.846130275974026,9.6925,top3,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,9,Bandit DR,Bandit,317.0907775080625,420.6824583962237,477.90153050673655,-1.8104397199605784,0.99375,0.0030864197530864,0.0125,none,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,9,Bandit DR support top3,Bandit,436.7521313211617,420.6824583962237,477.90153050673655,0.2808446962212371,0.0,0.8744094967532468,10.08125,top3,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,9,"Bandit oracle (myopic, true R)",Bandit,420.6824583962237,420.6824583962237,477.90153050673655,0.0,0.08,0.8476970805774319,9.48,none,,
gate2D_bandit,N100_noise0p2,100,0.2,0,Bandit DM,Bandit,322.9158468972171,425.0469525373324,482.2674723800636,-1.7848685387832812,0.98625,0.0067114093959731,0.0275,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,0,Bandit DM support top3,Bandit,435.71740320916456,425.0469525373324,482.2674723800636,0.1864794430592305,0.0,0.8518172348484847,8.51125,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,0,Bandit IPS,Bandit,186.88197158698677,425.0469525373324,482.2674723800636,-4.162230290897999,0.99125,0.0198412698412698,0.04375,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,0,Bandit IPS support top3,Bandit,440.88528156555503,425.0469525373324,482.2674723800636,0.2767945672593291,0.0,0.8508626893939395,9.095,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,0,Bandit DR,Bandit,322.9158468972171,425.0469525373324,482.2674723800636,-1.7848685387832812,0.98625,0.0067114093959731,0.0275,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,0,Bandit DR support top3,Bandit,435.71740320916456,425.0469525373324,482.2674723800636,0.1864794430592305,0.0,0.8518172348484847,8.51125,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,0,"Bandit oracle (myopic, true R)",Bandit,425.0469525373324,425.0469525373324,482.2674723800636,0.0,0.08875,0.8110813830412796,8.09375,none,,
gate2D_bandit,N100_noise0p2,100,0.2,1,Bandit DM,Bandit,315.31497107183964,421.1367484506907,477.8449022706637,-1.8660769263410544,0.985,0.0113636363636363,0.06,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,1,Bandit DM support top3,Bandit,431.13375524097415,421.1367484506907,477.8449022706637,0.1762887013042285,0.0,0.8191504329004329,8.34375,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,1,Bandit IPS,Bandit,315.31497107183964,421.1367484506907,477.8449022706637,-1.8660769263410544,0.985,0.0113636363636363,0.06,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,1,Bandit IPS support top3,Bandit,433.0059537803536,421.1367484506907,477.8449022706637,0.2093033281835123,0.0,0.8458308982683982,8.91,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,1,Bandit DR,Bandit,315.31497107183964,421.1367484506907,477.8449022706637,-1.8660769263410544,0.985,0.0113636363636363,0.06,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,1,Bandit DR support top3,Bandit,431.13375524097415,421.1367484506907,477.8449022706637,0.1762887013042285,0.0,0.8191504329004329,8.34375,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,1,"Bandit oracle (myopic, true R)",Bandit,421.1367484506907,421.1367484506907,477.8449022706637,0.0,0.0925,0.8278454900478711,9.3525,none,,
gate2D_bandit,N100_noise0p2,100,0.2,2,Bandit DM,Bandit,324.6977910627866,428.2572553930546,483.61336583743207,-1.8707865039456824,0.98625,0.0109034267912772,0.05375,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,2,Bandit DM support top3,Bandit,442.057355635503,428.2572553930546,483.61336583743207,0.2492967828062068,0.0,0.8241863528805663,6.865,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,2,Bandit IPS,Bandit,286.9573070518091,428.2572553930546,483.61336583743207,-2.552562801232676,1.0,0.0,0.0,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,2,Bandit IPS support top3,Bandit,444.684947885022,428.2572553930546,483.61336583743207,0.296763850640737,0.0,0.8115489211786366,6.80875,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,2,Bandit DR,Bandit,324.6977910627866,428.2572553930546,483.61336583743207,-1.8707865039456824,0.98625,0.0109034267912772,0.05375,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,2,Bandit DR support top3,Bandit,442.391861521467,428.2572553930546,483.61336583743207,0.2553395824768976,0.0,0.8162364211786367,6.80875,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,2,"Bandit oracle (myopic, true R)",Bandit,428.2572553930546,428.2572553930546,483.61336583743207,0.0,0.01125,0.8455194964349377,7.97,none,,
gate2D_bandit,N100_noise0p2,100,0.2,3,Bandit DM,Bandit,324.0958464694099,427.8075954406258,483.282798778634,-1.8695154362806827,0.98375,0.0110584518167456,0.0575,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,3,Bandit DM support top3,Bandit,432.8097713298321,427.8075954406258,483.282798778634,0.0901695818711691,0.0,0.8663067037129537,9.36625,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,3,Bandit IPS,Bandit,185.15088567115333,427.8075954406258,483.282798778634,-4.374147279658896,1.0,0.0,0.0,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,3,Bandit IPS support top3,Bandit,440.80583487751136,427.8075954406258,483.282798778634,0.2343071977165694,0.0,0.8707604166666666,9.83125,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,3,Bandit DR,Bandit,324.0958464694099,427.8075954406258,483.282798778634,-1.8695154362806827,0.98375,0.0110584518167456,0.0575,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,3,Bandit DR support top3,Bandit,440.88144192343066,427.8075954406258,483.282798778634,0.2356700957569538,0.0,0.8665338654401153,9.15,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,3,"Bandit oracle (myopic, true R)",Bandit,427.8075954406258,427.8075954406258,483.282798778634,0.0,0.03125,0.8639282124125874,8.695,none,,
gate2D_bandit,N100_noise0p2,100,0.2,4,Bandit DM,Bandit,310.2534692527598,415.8730447844656,474.3155353853144,-1.8072394664537408,0.98375,0.0066115702479338,0.03375,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,4,Bandit DM support top3,Bandit,428.5279939939238,415.8730447844656,474.3155353853144,0.216536788205847,0.0,0.8729880952380953,11.855,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,4,Bandit IPS,Bandit,276.50875742185,415.8730447844656,474.3155353853144,-2.3846397703076585,1.0,0.0,0.0,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,4,Bandit IPS support top3,Bandit,428.35922627441033,415.8730447844656,474.3155353853144,0.2136490310658214,0.0,0.889470238095238,11.83875,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,4,Bandit DR,Bandit,310.2534692527598,415.8730447844656,474.3155353853144,-1.8072394664537408,0.98375,0.0066115702479338,0.03375,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,4,Bandit DR support top3,Bandit,426.9513127247599,415.8730447844656,474.3155353853144,0.1895584501344534,0.0,0.8689940476190475,11.63625,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,4,"Bandit oracle (myopic, true R)",Bandit,415.8730447844656,415.8730447844656,474.3155353853144,0.0,0.16125,0.8447698566529638,11.135,none,,
gate2D_bandit,N100_noise0p2,100,0.2,5,Bandit DM,Bandit,307.6763408438809,413.08161086848617,472.4205638661845,-1.7763250731554647,0.98625,0.0103448275862068,0.04125,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,5,Bandit DM support top3,Bandit,426.3448510445945,413.08161086848617,472.4205638661845,0.2235165857514002,0.0,0.8643651739263152,10.44375,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,5,Bandit IPS,Bandit,221.6718749613678,413.08161086848617,472.4205638661845,-3.2257012676739136,1.0,0.0,0.0,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,5,Bandit IPS support top3,Bandit,430.7111942212953,413.08161086848617,472.4205638661845,0.2970996699839467,0.0,0.844603489807294,10.19,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,5,Bandit DR,Bandit,307.6763408438809,413.08161086848617,472.4205638661845,-1.7763250731554647,0.98625,0.0103448275862068,0.04125,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,5,Bandit DR support top3,Bandit,426.1771621193761,413.08161086848617,472.4205638661845,0.2206906355661165,0.0,0.8562093569172373,9.845,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,5,"Bandit oracle (myopic, true R)",Bandit,413.08161086848617,413.08161086848617,472.4205638661845,0.0,0.0975,0.8628136660846941,10.64625,none,,
gate2D_bandit,N100_noise0p2,100,0.2,6,Bandit DM,Bandit,307.3793326256101,413.5410294620784,472.2493846542733,-1.8082894076818237,0.99625,0.001577287066246,0.00375,none,2000.0,10.0
