cell_id,N,noise,method,family,n_runs,mean_nv,std_nv,median_nv,mean_unseen_rate
N400_noise0p05,400,0.05,Bandit DM support top3,Bandit,10,0.1635711681999969,0.03006802107875806,0.16854450228253637,0.0
N400_noise0p05,400,0.05,Bandit DR,Bandit,10,-1.6732680052018574,0.4829127972366713,-1.8215111874387226,0.98184375
N400_noise0p05,400,0.05,Bandit DR support top3,Bandit,10,0.1640990494253894,0.030826339007752876,0.1642315334490474,0.0
N400_noise0p05,400,0.05,Bandit IPS,Bandit,10,-3.44209513557961,0.8767131102381454,-3.733219823981374,1.0
N400_noise0p05,400,0.05,Bandit IPS support top3,Bandit,10,0.24174672818987836,0.16386178986783548,0.1430961651384719,0.0
N400_noise0p05,400,0.05,"Bandit oracle (myopic, true R)",Bandit,10,0.0,0.0,0.0,0.00215625
N400_noise0p2,400,0.2,Bandit DM,Bandit,10,-1.3695544271522082,0.7558259066216131,-1.8085011537203615,0.9698437500000001
N400_noise0p2,400,0.2,Bandit DM support top3,Bandit,10,0.15520100346877022,0.028993636074091535,0.1465899645197935,0.0
N400_noise0p2,400,0.2,Bandit DR,Bandit,10,-1.3645971856188204,0.7521848421521751,-1.8085011537203615,0.9704062499999999
N400_noise0p2,400,0.2,Bandit DR support top3,Bandit,10,0.15595837225738104,0.04870637870921223,0.14494658133028926,0.0
N400_noise0p2,400,0.2,Bandit IPS,Bandit,10,-3.2744912170000147,0.7494077665589391,-3.339737184969792,0.999
N400_noise0p2,400,0.2,Bandit IPS support top3,Bandit,10,0.16812609620198393,0.07850296332676857,0.1329591275348075,0.0
N400_noise0p2,400,0.2,"Bandit oracle (myopic, true R)",Bandit,10,0.0,0.0,0.0,0.00215625
N400_noise0p5,400,0.5,Bandit DM,Bandit,10,-1.149328408590489,0.7390375144006295,-1.2308272066468662,0.96953125
N400_noise0p5,400,0.5,Bandit DM support top3,Bandit,10,0.13730017965559,0.02519536326167495,0.13963777022869775,0.0
N400_noise0p5,400,0.5,Bandit DR,Bandit,10,-1.1374564204184092,0.7530723444363393,-1.2308272066468662,0.96646875
N400_noise0p5,400,0.5,Bandit DR support top3,Bandit,10,0.1303911041974547,0.05136621440666578,0.1294498533407945,0.0
N400_noise0p5,400,0.5,Bandit IPS,Bandit,10,-2.900346977169275,0.8518679903243553,-2.5275249977628884,0.99784375
N400_noise0p5,400,0.5,Bandit IPS support top3,Bandit,10,0.1560090509454007,0.02958852926852195,0.150127949743599,0.0
N400_noise0p5,400,0.5,"Bandit oracle (myopic, true R)",Bandit,10,0.0,0.0,0.0,0.00215625
