seed,model,t,ref_bin,action,price,true_demand,estimated_demand,true_revenue,estimated_revenue,true_dynamic_q,estimated_dynamic_q
0,structured,0,0,0,0.5,73.1058578630005,74.82176208496094,36.55292893150025,37.41088104248047,390.30426652734207,1485.773565709591
0,structured,0,0,1,0.65,56.21765008857981,41.984004974365234,36.541472557576874,27.289603233337402,401.77105487485545,1477.474838912487
0,structured,0,0,2,0.8,37.75406687981454,23.558074951171875,30.20325350385163,18.8464599609375,395.52744837264703,1469.1197824835776
0,structured,0,0,3,0.95,22.27001388253089,13.218913078308105,21.156513188404343,12.5579674243927,391.67727979263685,1464.393245279789
0,structured,0,0,4,1.1,11.920292202211753,7.4173994064331055,13.11232142243293,8.159139347076417,383.78111385257927,1460.117539894581
0,structured,0,0,5,1.25,6.008665017400762,4.162052154541016,7.510831271750953,5.2025651931762695,378.36469015788487,1457.5460986852645
0,structured,0,0,6,1.4,2.9312230751356334,2.3354122638702393,4.1037123051898865,3.269577169418335,390.1672506407374,1497.3892662465573
0,structured,0,0,7,1.55,1.4063627043245475,1.310447335243225,2.1798621917030485,2.031193369626999,389.2772403505725,1496.3644644856454
0,structured,0,0,8,1.7,0.6692850924284856,0.7353183627128601,1.1377846571284254,1.2500412166118622,395.95044250143997,1496.9059943020343
0,structured,0,0,9,1.85,0.31726828424851894,0.4126023054122925,0.58694632585976,0.763314265012741,398.23469163405855,1496.9301569581032
0,structured,0,0,10,2.0,0.15011822567369917,0.23151934146881104,0.30023645134739835,0.46303868293762207,409.227248850311,1619.0490444660186
0,structured,0,1,0,0.5,77.29422593967385,86.51114654541016,38.647112969836925,43.25557327270508,392.3984505656788,1491.6182579398155
0,structured,0,1,1,0.65,61.65665045213192,48.55474090576172,40.076822793885746,31.56058158874512,405.40101766268117,1481.8339041113854
0,structured,0,1,2,0.8,43.168001652175185,27.251544952392578,34.53440132174015,21.801235961914063,399.85859619053554,1472.0745584845542
0,structured,0,1,3,0.95,26.405460607285153,15.29504680633545,25.085187576920895,14.530294466018676,395.6059541811534,1466.365572321415
0,structured,0,1,4,1.1,14.492163148782279,8.584404945373535,15.941379463660509,9.44284543991089,386.6101718938068,1461.4012459874152
