seed,model,policy_value,policy_nv,inmodel_value,init_inmodel_gap,wrong_action_share,mean_price_index_error,mean_policy_regret,p90_policy_regret,mean_action_regret,mean_demand_log_rmse,unsupported_choice_share,outside_topk_support_share
0,structured,169.73865458448057,-4.613822363619214,1857.6864222950767,1687.947767710596,0.7321428571428571,3.8154761904761907,176.31790404747764,301.7579456341526,28.03178460033288,0.7018491267182894,0.8928571428571429,0.6190476190476191
0,unconstrained,452.1315963636855,0.4621042380665458,522.1929151884628,70.06131882477735,0.6488095238095238,1.6785714285714286,17.64343806864352,35.80638196331108,5.722406493087147,0.5742534904045448,0.8869047619047619,0.8690476190476191
1,structured,165.3456795639791,-4.580829739572996,1652.1881725559244,1486.8424929919454,0.7142857142857143,3.7916666666666665,176.9151738177359,296.60799860656647,28.086877797229032,0.6860534266515025,0.8869047619047619,0.6011904761904762
1,unconstrained,432.3296046062362,0.17999782825908334,511.92326662476415,79.59366201852794,0.5952380952380952,1.3154761904761905,21.771137272141033,49.43338639995595,6.257387967646973,0.4259300740856996,0.8928571428571429,0.8452380952380952
2,structured,163.7406532900219,-4.69187561366265,1951.597192020528,1787.8565387305061,0.7380952380952381,3.761904761904762,177.80854637322668,302.3632112375158,26.344592419241184,0.7111689871801394,0.9107142857142857,0.6607142857142857
2,unconstrained,449.72276493420577,0.4682361489474226,502.01510192775174,52.29233699354597,0.625,1.8928571428571428,15.771746101324322,34.790693299066156,5.811143065689997,0.5257414276434379,0.8630952380952381,0.8333333333333334
3,structured,168.257557987501,-4.4746888622378584,1818.5520716485798,1650.2945136610788,0.7202380952380952,3.8154761904761907,176.27492279208406,296.60799860656647,28.757701431572485,0.6917400349434304,0.9107142857142857,0.6190476190476191
3,unconstrained,413.40803012058655,-0.1578668268429743,556.3482353136642,142.94020519307765,0.7083333333333334,1.5952380952380953,29.284625458475602,71.495936950366,8.377009046676834,0.6199939818393438,0.9523809523809523,0.9107142857142857
4,structured,178.3147609043504,-4.436328259877003,1533.7973499327431,1355.4825890283928,0.7321428571428571,3.8273809523809526,169.600101492119,294.14391039391086,29.013804960606183,0.660427025459489,0.9047619047619048,0.6011904761904762
4,unconstrained,446.89132965964177,0.39374747948257854,521.8010925989597,74.90976293931794,0.6785714285714286,1.75,18.465230175347518,37.88475547327999,6.27777471891096,0.543358829643896,0.9285714285714286,0.8988095238095238
5,structured,163.87946713438515,-4.454839883127425,2066.7993687662997,1902.9199016319146,0.7261904761904762,3.732142857142857,177.54166242580928,302.3632112375158,26.293020394970636,0.7246703803465885,0.9107142857142857,0.6666666666666666
5,unconstrained,422.28537845361853,0.03597473815285368,545.7559041315457,123.47052567792713,0.6369047619047619,1.5714285714285714,25.836766692865247,60.10239070257941,6.680501049809966,0.5595725587943284,0.8988095238095238,0.8630952380952381
6,structured,165.74636886215114,-4.783053099658971,1926.0232663908278,1760.2768975286767,0.7142857142857143,3.8154761904761907,177.01442601245395,296.60799860656647,27.741126461022002,0.7125401934934749,0.8928571428571429,0.6130952380952381
6,unconstrained,422.0382922191055,-0.08678376271339887,550.2585635201308,128.22027130102532,0.6369047619047619,1.4404761904761905,27.83077254991411,64.50009033866411,6.953506332019236,0.46339821156498845,0.8869047619047619,0.8452380952380952
7,structured,177.71307025262473,-4.462791863692277,1556.6195552317427,1378.906484979118,0.7440476190476191,3.8452380952380953,170.1024719294944,294.14391039391086,28.7013360630202,0.6817570892719624,0.9107142857142857,0.6071428571428571
7,unconstrained,445.5420786554641,0.35494267471872315,522.1364641800465,76.59438552458238,0.6904761904761905,1.8035714285714286,22.676020777585716,41.43182277054924,6.337442584459942,0.6159073577600521,0.9107142857142857,0.8869047619047619
8,structured,169.82691042322574,-4.365797253387615,1651.6882286291338,1481.861318205908,0.7261904761904762,3.8154761904761907,175.87918962285596,296.60799860656647,28.661682317139253,0.687961035112465,0.9226190476190477,0.625
8,unconstrained,447.1633051918661,0.514814605526134,498.08719427012835,50.92388907826228,0.5476190476190477,1.2678571428571428,14.315752741444468,29.967518283009223,3.9751099653293034,0.539087991405523,0.8630952380952381,0.8214285714285714
9,structured,170.298883187481,-4.566402087547181,1988.220776680857,1817.921893493376,0.7142857142857143,3.767857142857143,175.91539137373175,296.60799860656647,28.75510316468913,0.7165854973796403,0.8869047619047619,0.5952380952380952
9,unconstrained,413.8985672446877,-0.23189955513577082,567.069606172014,153.17103892732632,0.6369047619047619,1.5952380952380953,28.693594019749824,72.78399197366197,7.614778297356828,0.6298295957953296,0.8928571428571429,0.8571428571428571
