expert_q,N,seed,astar_in_mask,nv_logger,nv_ceiling,nv_floor_masked,nv_floor_bare,nv_bc,nv_bc_masked,nv_eto_struct,nv_eto_struct_masked,nv_eto_uncon,nv_eto_uncon_masked
0.0,100,0,0.08333333333333333,0.0,0.0,0.0,-2.1652395012910843,-0.020983350844233722,0.0,-5.618075210874144,0.0,-5.6458911970747705,0.0
0.0,100,1,0.08333333333333333,-1.0404903435695779e-15,-1.0404903435695779e-15,-1.0404903435695779e-15,-2.0796710497425206,0.03320639828877938,0.0,-5.098024042275574,0.0,-5.4504756791119195,0.0
0.0,100,2,0.08333333333333333,-9.860955914945169e-16,0.0,0.0,-1.8985254270893055,-0.016378176942437976,0.0,-4.721925389875004,0.0,-5.04248670265925,0.0
0.0,100,3,0.08333333333333333,-2.0066166265055387e-15,0.0,0.0,-1.9525331846282892,0.0008092258627262619,0.0,-5.2045058768746175,0.0,-5.2045058768746175,0.0
0.0,100,4,0.08333333333333333,0.0,0.0,0.0,-1.9545783943312953,-0.012873035759791223,0.0,-5.191360877984408,0.0,-5.198853060240674,0.0
0.0,400,0,0.08333333333333333,0.0,0.0,0.0,-1.9796199722057262,0.0,0.0,-4.930580325794116,0.0,-5.243163556723214,0.0
0.0,400,1,0.08333333333333333,-1.014436710157726e-15,0.0,0.0,-1.9999451878891317,-0.021061122368835134,0.0,-4.945099221183623,0.0,-5.2765189762180125,0.0
0.0,400,2,0.08333333333333333,0.0,0.0,0.0,-1.833820559868774,0.0,0.0,-4.2474560444835445,0.0,-4.916912809865411,0.0
0.0,400,3,0.08333333333333333,0.0,0.0,0.0,-1.8819693377680102,0.0,0.0,-4.974273359271443,0.0,-5.032862787941387,0.0
0.0,400,4,0.08333333333333333,0.0,0.0,0.0,-1.9576128535085333,0.0,0.0,-5.142419573624344,0.0,-5.205992834418756,0.0
0.0,1600,0,0.08333333333333333,0.0,0.0,0.0,-1.9705798729760406,0.0,0.0,-5.160131940628376,0.0,-5.227346903788948,0.0
0.0,1600,1,0.08333333333333333,-1.0036044149178614e-15,0.0,0.0,-1.9605013383921144,0.0,0.0,-4.518617354694091,0.0,-1.5023565539931025,0.0
0.0,1600,2,0.08333333333333333,-1.0015766449370063e-15,-1.0015766449370063e-15,-1.0015766449370063e-15,-1.9457491188654572,0.0,0.0,-5.111326162780785,0.0,-2.4315205537836606,0.0
0.0,1600,3,0.08333333333333333,0.0,0.0,0.0,-1.930110321394811,0.0,0.0,-5.075529629426471,0.0,-2.3255903490622214,0.0
0.0,1600,4,0.08333333333333333,0.0,0.0,0.0,-1.9480695812768298,0.0,0.0,-5.119328440013688,0.0,0.546937991155767,0.0
0.25,100,0,0.1130952380952381,0.03774225738420561,0.19007255021027308,0.04627271781133801,-2.15241750598644,0.18953121933060493,0.017461698398656286,-5.263778844219769,0.07459328362337113,-3.9111731059846235,0.17397089108525013
0.25,100,1,0.1130952380952381,0.06138587308298253,0.22116704119053998,0.08595566702999988,-2.1267693126290306,0.1984565932597971,0.09231648377885628,-3.6356146710602384,0.18299476585709687,-5.581288889109883,0.13723214484402868
0.25,100,2,0.10714285714285714,0.03988183449542191,0.18399306091155307,0.05090717279373106,-1.8741395557008385,0.12398742684766552,0.02298194848852598,-3.585490737803148,0.077504389587819,-5.013897892546446,0.1499354217033064
0.25,100,3,0.1130952380952381,0.057588217098555015,0.21925825373032498,0.0711945620402943,-1.725745033537596,0.10211988592124838,0.01074849905851955,-4.392092647216518,0.1197656249153608,-2.4815702041661782,0.20417653465106136
0.25,100,4,0.1130952380952381,0.07070293858941859,0.24480650548343819,0.08247944153388866,-1.8903055016277857,0.29513055864985666,0.023711602966746213,-4.747206828526387,0.1495293012671722,-2.5908864554681315,0.23006377905931505
0.25,400,0,0.1130952380952381,0.05142962618418579,0.2172442074718254,0.06057941991613994,-1.9636366438693909,-0.012903920046645135,-0.0017902338941259786,-3.275711414312414,0.1927625081116118,-3.368905079159324,0.2172442074718254
0.25,400,1,0.1130952380952381,0.06034302038874303,0.22303783973884636,0.06279644517508172,-2.0363333757966418,0.02175575798360409,-0.004086137772324222,-1.8748430389867043,0.15464048516525755,-1.52392067229189,0.21490308444062242
