method,n_runs,mean_nv,median_nv,mean_unseen_rate,mean_behavior_prob
Bandit IPS support top3,10,0.22830566214511344,0.21716983331596898,0.0,0.864122166731379
Bandit DM support top3,10,0.19512032226832096,0.19496886618502496,0.0,0.86749960953678
Bandit DR support top3,10,0.152188282206892,0.16153541224226958,0.0,0.8556972162716081
"Bandit oracle (myopic, true R)",10,0.0,0.0,0.101,0.8414393480548229
Bandit DM,10,-1.4985516727213815,-1.8077644370677821,0.975375,0.02005596389251309
Bandit DR,10,-1.6657036129236862,-1.8077644370677821,0.975375,0.018803284050357066
Bandit IPS,10,-2.7902212520548133,-2.5046398086006763,0.99725,0.002085730724971231
