cell_id,N,noise,method,family,n_runs,mean_nv,std_nv,median_nv,mean_value,mean_unseen_rate,mean_behavior_prob
N100_noise0p5,100,0.5,Bandit IPS support top3,Bandit,10,0.22830566214511344,0.03334964216973231,0.21716983331596898,433.35569209469423,0.0,0.864122166731379
N100_noise0p5,100,0.5,Bandit DM support top3,Bandit,10,0.19512032226832096,0.06194030458198727,0.19496886618502496,431.4821329456778,0.0,0.86749960953678
N100_noise0p5,100,0.5,Bandit DR support top3,Bandit,10,0.152188282206892,0.04891828347981285,0.16153541224226958,428.9748902830136,0.0,0.8556972162716081
N100_noise0p5,100,0.5,"Bandit oracle (myopic, true R)",Bandit,10,0.0,0.0,0.0,420.2533409374758,0.101,0.8414393480548229
N100_noise0p5,100,0.5,Bandit DM,Bandit,10,-1.4985516727213815,0.6894301932695269,-1.8077644370677821,334.40126694932314,0.975375,0.02005596389251309
N100_noise0p5,100,0.5,Bandit DR,Bandit,10,-1.6657036129236862,0.47838590604611547,-1.8077644370677821,324.6617841798598,0.975375,0.018803284050357066
N100_noise0p5,100,0.5,Bandit IPS,Bandit,10,-2.7902212520548133,0.9526281308169332,-2.5046398086006763,260.2712591058404,0.99725,0.002085730724971231
