method,n_runs,mean_nv,median_nv,mean_unseen_rate,mean_behavior_prob
Bandit IPS support top3,10,0.17626386204746677,0.1501729990598799,0.0,0.7621295010987007
Bandit DM support top3,10,0.13560653141833948,0.13742287499535327,0.0,0.7663210340065926
Bandit DR support top3,10,0.1327220530009564,0.13358286319704546,0.0,0.7722039285728821
"Bandit oracle (myopic, true R)",10,0.0,0.0,0.0,0.8486337769947481
Bandit DM,10,-1.5353056334761335,-1.8234883462066271,0.97128125,0.019659665681134433
Bandit DR,10,-1.672305192452074,-1.8234883462066271,0.9818125,0.011101919925535553
Bandit IPS,10,-2.1183540416394537,-1.8554164737642482,0.9905078125,0.006237096056993925
