comparison,method_a,method_b,n_pairs,mean_diff_a_minus_b,median_diff_a_minus_b,wilcoxon_p,a_win_rate
structured_minus_iql_expectile0.7_beta3,Structured DT,IQL expectile0.7 beta3,10,0.05435457801143686,0.0356149390965978,0.275390625,0.6
structured_minus_iql_expectile0.7_beta3_support_top3,Structured DT,IQL expectile0.7 beta3 support top3,10,-0.23992035673654394,-0.22094420612040971,0.001953125,0.0
structured_minus_q-dt_fixed_q_sa,Structured DT,Q-DT fixed q_sa,10,0.11827712547639442,0.13569346069988147,0.013671875,0.9
structured_minus_q-dt_fixed_q_sa_support_top3,Structured DT,Q-DT fixed q_sa support top3,10,-0.14020619833200815,-0.1606698645845419,0.009765625,0.1
structured_minus_q-dt_fixed_td_denoised,Structured DT,Q-DT fixed td denoised,10,-0.010262339782853042,0.010100911700697962,1.0,0.5
structured_minus_q-dt_fixed_td_denoised_support_top3,Structured DT,Q-DT fixed td denoised support top3,10,-0.08685028037811468,-0.08810065365269931,0.02734375,0.2
structured_minus_structured_dt_support_countgte=1,Structured DT,Structured DT support count>=1,10,-0.0876873877249684,-0.07974104395088266,0.001953125,0.0
structured_minus_structured_dt_support_top3,Structured DT,Structured DT support top3,10,-0.0876873877249684,-0.07974104395088266,0.001953125,0.0
structured_minus_vanilla_dt,Structured DT,Vanilla DT,10,0.14705685773463398,0.16261196561800628,0.005859375,0.9
structured_minus_vanilla_dt_support_top3,Structured DT,Vanilla DT support top3,10,0.09666109940308559,0.11923815108761984,0.009765625,0.8
support_count1_minus_structured,Structured DT support count>=1,Structured DT,10,0.0876873877249684,0.07974104395088266,0.001953125,1.0
support_top3_minus_structured,Structured DT support top3,Structured DT,10,0.0876873877249684,0.07974104395088266,0.001953125,1.0
vanilla_support_top3_minus_vanilla,Vanilla DT support top3,Vanilla DT,10,0.05039575833154836,0.05122127559149417,0.037109375,0.8
qdt_td_minus_qsa,Q-DT fixed td denoised,Q-DT fixed q_sa,10,0.12853946525924748,0.16126307555761846,0.013671875,0.9
