cell_id,N,noise,method,family,n_runs,mean_nv,std_nv,median_nv,mean_value,mean_unseen_rate,mean_behavior_prob
N100_noise0p2,100,0.2,IQL expectile0.7 beta3 support top3,IQL,10,0.8603287337143678,0.05080278318485177,0.8552202340114234,469.62234155476443,0.0,0.7695377505040394
N100_noise0p2,100,0.2,Q-DT fixed q_sa support top3,Q-DT,10,0.7606145753098319,0.09423183118403883,0.7884216574766882,463.90505899941235,0.0,0.8157576338204512
N100_noise0p2,100,0.2,Structured DT support count>=1,DT,10,0.7080957647027922,0.12043929174691473,0.7144566741042988,460.9477223002501,0.0,0.8160426635609245
N100_noise0p2,100,0.2,Structured DT support top3,DT,10,0.7080957647027922,0.12043929174691473,0.7144566741042988,460.9477223002501,0.0,0.8160426635609245
N100_noise0p2,100,0.2,Q-DT fixed td denoised support top3,Q-DT,10,0.7072586573559385,0.15288426980153794,0.7145200371536625,460.9352971593356,0.0,0.8209431461258573
N100_noise0p2,100,0.2,Q-DT fixed td denoised,Q-DT,10,0.6306707167606769,0.11139234370564759,0.6520263681970496,456.5233706618313,0.31062500000000004,0.5936997690608844
N100_noise0p2,100,0.2,Structured DT,DT,10,0.6204083769778238,0.09757202810911215,0.6356649902735028,455.928279777164,0.266,0.6299514875956004
N100_noise0p2,100,0.2,IQL expectile0.7 beta3,IQL,10,0.566053798966387,0.1641226269546774,0.5938827509457127,452.82918878503233,0.564625,0.37406477353818596
N100_noise0p2,100,0.2,Vanilla DT support top3,DT,10,0.5237472775747383,0.07226872218285176,0.5097520680173526,450.3385653108211,0.0,0.836102495689482
N100_noise0p2,100,0.2,Q-DT fixed q_sa,Q-DT,10,0.5021312515014295,0.07234730955029878,0.5186625771437658,449.1028816858523,0.500375,0.4731696671847284
N100_noise0p2,100,0.2,Vanilla DT,DT,10,0.47335151924318986,0.09186716036343062,0.45866900320364107,447.4509139648415,0.1705,0.7282536630117663
