seed,arm,mask,nv,off_support,v_beh,v_opt
7,QDT,top3,0.5517,0.0,73.12,80.92
7,BC,none,0.3058,0.0238,73.12,80.92
7,BC,top3,0.3136,0.0,73.12,80.92
7,random,none,-8.683,0.7837,73.12,80.92
7,random,top3,-2.1573,0.0,73.12,80.92
8,vanilla,none,0.2206,0.3906,70.3,80.92
8,vanilla,top3,0.1738,0.0,70.3,80.92
8,structured,none,-0.084,0.6419,70.3,80.92
8,structured,top3,0.0204,0.0,70.3,80.92
8,empirical,none,-0.3767,0.6491,70.3,80.92
8,empirical,top3,-0.1967,0.0,70.3,80.92
8,oracle,none,-0.1135,0.6834,70.3,80.92
8,oracle,top3,-0.014,0.0,70.3,80.92
8,QDT,none,0.2794,0.4019,70.3,80.92
8,QDT,top3,0.1497,0.0,70.3,80.92
8,BC,none,0.2101,0.0094,70.3,80.92
8,BC,top3,0.2099,0.0,70.3,80.92
8,random,none,-6.444,0.7966,70.3,80.92
8,random,top3,-2.2671,0.0,70.3,80.92
9,vanilla,none,0.4718,0.3353,67.43,80.92
9,vanilla,top3,0.5214,0.0,67.43,80.92
9,structured,none,0.6307,0.5991,67.43,80.92
9,structured,top3,0.6344,0.0,67.43,80.92
9,empirical,none,0.4224,0.5953,67.43,80.92
9,empirical,top3,0.4922,0.0,67.43,80.92
9,oracle,none,0.5888,0.6131,67.43,80.92
9,oracle,top3,0.6193,0.0,67.43,80.92
9,QDT,none,0.5265,0.3091,67.43,80.92
9,QDT,top3,0.5298,0.0,67.43,80.92
9,BC,none,0.4692,0.0481,67.43,80.92
9,BC,top3,0.4797,0.0,67.43,80.92
9,random,none,-5.2609,0.8091,67.43,80.92
9,random,top3,-1.6579,0.0,67.43,80.92
10,vanilla,none,0.1958,0.3556,72.86,80.92
10,vanilla,top3,0.2328,0.0,72.86,80.92
10,structured,none,-0.0803,0.6244,72.86,80.92
10,structured,top3,0.1661,0.0,72.86,80.92
10,empirical,none,-0.3925,0.6391,72.86,80.92
10,empirical,top3,0.0913,0.0,72.86,80.92
10,oracle,none,-0.1957,0.6256,72.86,80.92
10,oracle,top3,0.1134,0.0,72.86,80.92
10,QDT,none,0.4532,0.4756,72.86,80.92
10,QDT,top3,0.311,0.0,72.86,80.92
10,BC,none,0.2938,0.0481,72.86,80.92
10,BC,top3,0.3191,0.0,72.86,80.92
10,random,none,-8.4188,0.7891,72.86,80.92
10,random,top3,-2.4507,0.0,72.86,80.92
11,vanilla,none,0.5775,0.5272,68.56,80.92
11,vanilla,top3,0.4678,0.0,68.56,80.92
11,structured,none,0.0183,0.6288,68.56,80.92
11,structured,top3,0.3573,0.0,68.56,80.92
11,empirical,none,-0.23,0.6553,68.56,80.92
11,empirical,top3,0.2644,0.0,68.56,80.92
11,oracle,none,-0.1082,0.6522,68.56,80.92
11,oracle,top3,0.3948,0.0,68.56,80.92
11,QDT,none,0.6909,0.6153,68.56,80.92
11,QDT,top3,0.5687,0.0,68.56,80.92
11,BC,none,0.4583,0.0419,68.56,80.92
11,BC,top3,0.4727,0.0,68.56,80.92
11,random,none,-5.0514,0.7894,68.56,80.92
11,random,top3,-1.0696,0.0,68.56,80.92
12,vanilla,none,-0.4183,0.4363,71.59,80.92
12,vanilla,top3,-0.2271,0.0,71.59,80.92
12,structured,none,0.107,0.6391,71.59,80.92
12,structured,top3,0.0079,0.0,71.59,80.92
12,empirical,none,-0.0631,0.6625,71.59,80.92
12,empirical,top3,-0.0256,0.0,71.59,80.92
12,oracle,none,0.0937,0.6144,71.59,80.92
12,oracle,top3,0.0676,0.0,71.59,80.92
12,QDT,none,-0.2425,0.4597,71.59,80.92
12,QDT,top3,-0.2055,0.0,71.59,80.92
12,BC,none,-0.1523,0.0628,71.59,80.92
12,BC,top3,-0.1498,0.0,71.59,80.92
12,random,none,-7.9059,0.8066,71.59,80.92
12,random,top3,-2.5705,0.0,71.59,80.92
13,vanilla,none,-0.2695,0.4925,70.81,80.92
13,vanilla,top3,-0.2208,0.0,70.81,80.92
13,structured,none,-0.3301,0.6438,70.81,80.92
13,structured,top3,-0.325,0.0,70.81,80.92
13,empirical,none,-0.7802,0.6525,70.81,80.92
13,empirical,top3,-0.4835,0.0,70.81,80.92
13,oracle,none,-0.296,0.6684,70.81,80.92
13,oracle,top3,-0.5409,0.0,70.81,80.92
13,QDT,none,0.0175,0.4941,70.81,80.92
13,QDT,top3,-0.1496,0.0,70.81,80.92
13,BC,none,-0.1911,0.04,70.81,80.92
13,BC,top3,-0.1908,0.0,70.81,80.92
13,random,none,-7.7395,0.785,70.81,80.92
13,random,top3,-3.2075,0.0,70.81,80.92
14,vanilla,none,0.5224,0.3994,63.26,80.92
14,vanilla,top3,0.5162,0.0,63.26,80.92
14,structured,none,0.2225,0.6291,63.26,80.92
14,structured,top3,0.3555,0.0,63.26,80.92
14,empirical,none,0.2293,0.6744,63.26,80.92
14,empirical,top3,0.3024,0.0,63.26,80.92
14,oracle,none,0.382,0.6541,63.26,80.92
14,oracle,top3,0.3151,0.0,63.26,80.92
14,QDT,none,0.6452,0.4878,63.26,80.92
14,QDT,top3,0.5647,0.0,63.26,80.92
14,BC,none,0.5346,0.0297,63.26,80.92
14,BC,top3,0.529,0.0,63.26,80.92
14,random,none,-3.6872,0.7859,63.26,80.92
14,random,top3,-0.7724,0.0,63.26,80.92
15,vanilla,none,0.4234,0.4969,69.83,80.92
15,vanilla,top3,0.4568,0.0,69.83,80.92
15,structured,none,0.2534,0.7056,69.83,80.92
15,structured,top3,0.5348,0.0,69.83,80.92
15,empirical,none,0.1249,0.6756,69.83,80.92
15,empirical,top3,0.4002,0.0,69.83,80.92
15,oracle,none,0.3015,0.7122,69.83,80.92
15,oracle,top3,0.4352,0.0,69.83,80.92
15,QDT,none,0.7017,0.5441,69.83,80.92
15,QDT,top3,0.5333,0.0,69.83,80.92
15,BC,none,0.4953,0.0516,69.83,80.92
15,BC,top3,0.4998,0.0,69.83,80.92
15,random,none,-5.86,0.7869,69.83,80.92
15,random,top3,-2.1678,0.0,69.83,80.92
16,vanilla,none,0.4964,0.41,68.85,80.92
16,vanilla,top3,0.5454,0.0,68.85,80.92
16,structured,none,-0.034,0.6634,68.85,80.92
16,structured,top3,0.322,0.0,68.85,80.92
16,empirical,none,-0.1484,0.6856,68.85,80.92
16,empirical,top3,0.3343,0.0,68.85,80.92
16,oracle,none,0.0362,0.6703,68.85,80.92
16,oracle,top3,0.3452,0.0,68.85,80.92
16,QDT,none,0.673,0.5088,68.85,80.92
16,QDT,top3,0.5996,0.0,68.85,80.92
16,BC,none,0.5559,0.0456,68.85,80.92
16,BC,top3,0.5573,0.0,68.85,80.92
16,random,none,-5.4024,0.795,68.85,80.92
16,random,top3,-1.6848,0.0,68.85,80.92
17,vanilla,none,0.3333,0.4606,68.42,80.92
17,vanilla,top3,0.4182,0.0,68.42,80.92
17,structured,none,-0.0963,0.6747,68.42,80.92
17,structured,top3,0.0601,0.0,68.42,80.92
17,empirical,none,-0.2647,0.6878,68.42,80.92
17,empirical,top3,0.0054,0.0,68.42,80.92
17,oracle,none,0.1114,0.6637,68.42,80.92
17,oracle,top3,0.1696,0.0,68.42,80.92
17,QDT,none,0.5427,0.4609,68.42,80.92
17,QDT,top3,0.424,0.0,68.42,80.92
17,BC,none,0.4629,0.0016,68.42,80.92
17,BC,top3,0.4635,0.0,68.42,80.92
17,random,none,-5.0641,0.8031,68.42,80.92
17,random,top3,-1.6822,0.0,68.42,80.92
18,vanilla,none,0.3988,0.4437,72.22,80.92
18,vanilla,top3,0.4158,0.0,72.22,80.92
18,structured,none,0.0463,0.5516,72.22,80.92
18,structured,top3,0.2503,0.0,72.22,80.92
18,empirical,none,-0.4045,0.6422,72.22,80.92
18,empirical,top3,0.1002,0.0,72.22,80.92
18,oracle,none,0.0016,0.5997,72.22,80.92
18,oracle,top3,0.1268,0.0,72.22,80.92
18,QDT,none,0.4491,0.4813,72.22,80.92
18,QDT,top3,0.274,0.0,72.22,80.92
18,BC,none,0.4273,0.0019,72.22,80.92
18,BC,top3,0.4283,0.0,72.22,80.92
18,random,none,-7.6781,0.7978,72.22,80.92
18,random,top3,-2.0374,0.0,72.22,80.92
19,vanilla,none,0.4752,0.4431,67.02,80.92
19,vanilla,top3,0.3582,0.0,67.02,80.92
19,structured,none,0.0825,0.645,67.02,80.92
19,structured,top3,0.1627,0.0,67.02,80.92
19,empirical,none,-0.0469,0.6547,67.02,80.92
