method,n_runs,mean_nv,median_nv,mean_unseen_rate,mean_behavior_prob
Bandit IPS support top3,10,0.15600905094540077,0.15012794974359903,0.0,0.810518345920151
Bandit DM support top3,10,0.13730017965559002,0.13963777022869778,0.0,0.8063695597551084
Bandit DR support top3,10,0.13039110419745475,0.1294498533407945,0.0,0.8045279043676562
"Bandit oracle (myopic, true R)",10,0.0,0.0,0.00215625,0.8499346323263424
Bandit DR,10,-1.1374564204184092,-1.2308272066468662,0.96646875,0.022833675327286168
Bandit DM,10,-1.1493284085904891,-1.2308272066468662,0.96953125,0.020004231134438596
Bandit IPS,10,-2.900346977169275,-2.527524997762888,0.99784375,0.0018850305982730838
