method,n_runs,mean_nv,median_nv,mean_unseen_rate,mean_behavior_prob
Bandit IPS support top3,10,0.254656233208841,0.2555508824879493,0.0,0.8609435181190508
Bandit DR support top3,10,0.2092863121959474,0.20512454285028503,0.0,0.8604746287871944
Bandit DM support top3,10,0.20242727680547706,0.2015081156325388,0.0,0.8632991664944569
"Bandit oracle (myopic, true R)",10,0.0,0.0,0.101,0.8414393480548229
Bandit DR,10,-1.670303507377973,-1.8093645638212008,0.98525,0.009483251966464745
Bandit DM,10,-1.675148515102157,-1.8093645638212008,0.9813750000000001,0.012890746111663808
Bandit IPS,10,-2.95208603534771,-2.8891320344532945,0.994375,0.007011034179686451
