gate,cell_id,N,noise,seed,method,family,v_policy,v_behaviour_expected,v_optimal_same_start,nv,selected_unseen_rate,mean_behavior_prob,mean_logged_count,target_q95,support_mask,qdt_mode,qdt_denoise,cql_updates,cql_alpha,iql_updates,iql_expectile,iql_awr_beta,iql_weight_clip,iql_final_q_loss,iql_final_v_loss,iql_final_pi_loss,iql_mean_adv_weight
gate2C_support_mask,N400_noise0p2,400,0.2,0,Structured DT,DT,466.70130936954155,421.48917105942843,479.2131268458336,0.7832474003931873,0.2178125,0.5682363135038799,19.3175,695.5692749023438,none,,,,,,,,,,,,
gate2C_support_mask,N400_noise0p2,400,0.2,0,Structured DT support count>=1,DT,470.99715353758774,421.48917105942843,479.2131268458336,0.8576678746923156,0.0,0.7658122663899232,32.3903125,695.5692749023438,count>=1,,,,,,,,,,,,
gate2C_support_mask,N400_noise0p2,400,0.2,0,Structured DT support top3,DT,470.99715353758774,421.48917105942843,479.2131268458336,0.8576678746923156,0.0,0.7658122663899232,32.3903125,695.5692749023438,top3,,,,,,,,,,,,
gate2C_support_mask,N400_noise0p2,400,0.2,0,Vanilla DT,DT,455.7112381542753,421.48917105942843,479.2131268458336,0.5928572743953675,0.0778125,0.7636739989491499,52.70375,491.3634338378906,none,,,,,,,,,,,,
gate2C_support_mask,N400_noise0p2,400,0.2,0,Vanilla DT support top3,DT,455.60969235311114,421.48917105942843,479.2131268458336,0.5910981121934579,0.0,0.8159088227539069,53.8390625,491.3634338378906,top3,,,,,,,,,,,,
gate2A_fixed_value_guided_dt,N400_noise0p2,400,0.2,0,Q-DT fixed td denoised,Q-DT,466.4487707683664,421.48917105942843,479.2131268458336,0.7788724645847401,0.3146875,0.5230265481459163,16.1728125,25591.58203125,none,td,True,2000.0,0.1,,,,,,,,
gate2A_fixed_value_guided_dt,N400_noise0p2,400,0.2,0,Q-DT fixed td denoised support top3,Q-DT,474.04778663695936,421.48917105942843,479.2131268458336,0.9105165240582708,0.0,0.7424646115372354,26.1053125,25591.58203125,top3,td,True,2000.0,0.1,,,,,,,,
gate2A_fixed_value_guided_dt,N400_noise0p2,400,0.2,0,Q-DT fixed q_sa,Q-DT,464.50262634692,421.48917105942843,479.2131268458336,0.7451577893700397,0.4040625,0.4521149763261285,16.7465625,23707.224609375,none,q_sa,False,2000.0,0.1,,,,,,,,
gate2A_fixed_value_guided_dt,N400_noise0p2,400,0.2,0,Q-DT fixed q_sa support top3,Q-DT,472.4673812721269,421.48917105942843,479.2131268458336,0.8831378501039006,0.0,0.7632824400309809,31.115625,23707.224609375,top3,q_sa,False,2000.0,0.1,,,,,,,,
gate2B_iql,N400_noise0p2,400,0.2,0,IQL expectile0.7 beta3,IQL,461.27798175425136,421.48917105942843,479.2131268458336,0.6892945944670302,0.2784375,0.39221762500566787,14.3753125,,none,,,,,2000.0,0.7,3.0,20.0,240.4806381225586,107.08003425598145,1.0966645538806916,6.2996820449829105
gate2B_iql,N400_noise0p2,400,0.2,0,IQL expectile0.7 beta3 support top3,IQL,469.13949584093285,421.48917105942843,479.2131268458336,0.8254861284598027,0.0,0.6539706152396704,35.39375,,top3,,,,,2000.0,0.7,3.0,20.0,240.4806381225586,107.08003425598145,1.0966645538806916,6.2996820449829105
gate2C_support_mask,N400_noise0p2,400,0.2,1,Structured DT,DT,462.45432296498154,422.7909092428097,479.07216495487467,0.7047357636277692,0.3728125,0.4604188143943516,26.9071875,650.6212158203125,none,,,,,,,,,,,,
gate2C_support_mask,N400_noise0p2,400,0.2,1,Structured DT support count>=1,DT,466.8335838415336,422.7909092428097,479.07216495487467,0.7825460544811993,0.0,0.7345030041656523,25.408125,650.6212158203125,count>=1,,,,,,,,,,,,
gate2C_support_mask,N400_noise0p2,400,0.2,1,Structured DT support top3,DT,466.8335838415336,422.7909092428097,479.07216495487467,0.7825460544811993,0.0,0.7345030041656523,25.408125,650.6212158203125,top3,,,,,,,,,,,,
gate2C_support_mask,N400_noise0p2,400,0.2,1,Vanilla DT,DT,451.141790774431,422.7909092428097,479.07216495487467,0.5037357673159335,0.0459375,0.7969889794935835,56.4084375,485.89959716796875,none,,,,,,,,,,,,
gate2C_support_mask,N400_noise0p2,400,0.2,1,Vanilla DT support top3,DT,453.3765912030966,422.7909092428097,479.07216495487467,0.5434434888369112,0.0,0.8197729241385413,54.889375,485.89959716796875,top3,,,,,,,,,,,,
gate2A_fixed_value_guided_dt,N400_noise0p2,400,0.2,1,Q-DT fixed td denoised,Q-DT,462.63161861890245,422.7909092428097,479.07216495487467,0.707885935948514,0.4834375,0.3909848885328224,13.916875,32090.298828125,none,td,True,2000.0,0.1,,,,,,,,
gate2A_fixed_value_guided_dt,N400_noise0p2,400,0.2,1,Q-DT fixed td denoised support top3,Q-DT,473.81578184324195,422.7909092428097,479.07216495487467,0.9066050846746494,0.0,0.7575804645146093,26.4525,32090.298828125,top3,td,True,2000.0,0.1,,,,,,,,
gate2A_fixed_value_guided_dt,N400_noise0p2,400,0.2,1,Q-DT fixed q_sa,Q-DT,463.54554000473416,422.7909092428097,479.07216495487467,0.7241244042319392,0.34375,0.49518193317182285,14.8990625,28999.87890625,none,q_sa,False,2000.0,0.1,,,,,,,,
gate2A_fixed_value_guided_dt,N400_noise0p2,400,0.2,1,Q-DT fixed q_sa support top3,Q-DT,474.8155068363693,422.7909092428097,479.07216495487467,0.9243681032938847,0.0,0.7549447481767263,28.0190625,28999.87890625,top3,q_sa,False,2000.0,0.1,,,,,,,,
gate2B_iql,N400_noise0p2,400,0.2,1,IQL expectile0.7 beta3,IQL,443.6755263761322,422.7909092428097,479.07216495487467,0.37107589141522135,0.51,0.33422291172140317,10.49125,,none,,,,,2000.0,0.7,3.0,20.0,382.5615753173828,294.2177398681641,0.7250801891088485,4.435959529876709
gate2B_iql,N400_noise0p2,400,0.2,1,IQL expectile0.7 beta3 support top3,IQL,466.1212506378573,422.7909092428097,479.07216495487467,0.7698893858503397,0.0,0.7414827941987437,50.7778125,,top3,,,,,2000.0,0.7,3.0,20.0,382.5615753173828,294.2177398681641,0.7250801891088485,4.435959529876709
gate2C_support_mask,N400_noise0p2,400,0.2,2,Structured DT,DT,457.93381425895984,417.1824539201058,474.5590275047475,0.710243881655599,0.4146875,0.44438189747956586,16.625625,659.6668090820312,none,,,,,,,,,,,,
gate2C_support_mask,N400_noise0p2,400,0.2,2,Structured DT support count>=1,DT,463.8226479987811,417.1824539201058,474.5590275047475,0.8128786918562133,0.0,0.7512123553889869,31.156875,659.6668090820312,count>=1,,,,,,,,,,,,
gate2C_support_mask,N400_noise0p2,400,0.2,2,Structured DT support top3,DT,463.8226479987811,417.1824539201058,474.5590275047475,0.8128786918562133,0.0,0.7512123553889869,31.156875,659.6668090820312,top3,,,,,,,,,,,,
gate2C_support_mask,N400_noise0p2,400,0.2,2,Vanilla DT,DT,452.2129547948906,417.1824539201058,474.5590275047475,0.6105366473846323,0.0575,0.7452982416104522,54.1659375,481.9655456542969,none,,,,,,,,,,,,
gate2C_support_mask,N400_noise0p2,400,0.2,2,Vanilla DT support top3,DT,450.80472356256564,417.1824539201058,474.5590275047475,0.5859929853228407,0.0,0.7852233940780227,55.8790625,481.9655456542969,top3,,,,,,,,,,,,
gate2A_fixed_value_guided_dt,N400_noise0p2,400,0.2,2,Q-DT fixed td denoised,Q-DT,462.5484600131033,417.1824539201058,474.5590275047475,0.7906712314577957,0.311875,0.6088349621727139,18.9796875,30564.763671875,none,td,True,2000.0,0.1,,,,,,,,
gate2A_fixed_value_guided_dt,N400_noise0p2,400,0.2,2,Q-DT fixed td denoised support top3,Q-DT,469.4504525556996,417.1824539201058,474.5590275047475,0.9109640985878711,0.0,0.7496251395722937,26.4946875,30564.763671875,top3,td,True,2000.0,0.1,,,,,,,,
gate2A_fixed_value_guided_dt,N400_noise0p2,400,0.2,2,Q-DT fixed q_sa,Q-DT,460.8518013746882,417.1824539201058,474.5590275047475,0.7611006500791047,0.3059375,0.5250975332374131,13.365625,27766.966796875,none,q_sa,False,2000.0,0.1,,,,,,,,
gate2A_fixed_value_guided_dt,N400_noise0p2,400,0.2,2,Q-DT fixed q_sa support top3,Q-DT,469.4829900936868,417.1824539201058,474.5590275047475,0.9115311860933527,0.0,0.7566057413688887,27.5059375,27766.966796875,top3,q_sa,False,2000.0,0.1,,,,,,,,
gate2B_iql,N400_noise0p2,400,0.2,2,IQL expectile0.7 beta3,IQL,448.19334813158025,417.1824539201058,474.5590275047475,0.540480064842619,0.4009375,0.34138528149195335,8.916875,,none,,,,,2000.0,0.7,3.0,20.0,233.62383880615235,84.07612495422363,1.0238989919424057,5.258950424194336
gate2B_iql,N400_noise0p2,400,0.2,2,IQL expectile0.7 beta3 support top3,IQL,465.66923364114774,417.1824539201058,474.5590275047475,0.8450623083916717,0.0,0.6819362660519832,24.989375,,top3,,,,,2000.0,0.7,3.0,20.0,233.62383880615235,84.07612495422363,1.0238989919424057,5.258950424194336
gate2C_support_mask,N400_noise0p2,400,0.2,3,Structured DT,DT,465.0854648058358,423.10474053664757,479.3865548020198,0.7459021145133399,0.305,0.5883802024196682,25.033125,653.5397338867188,none,,,,,,,,,,,,
gate2C_support_mask,N400_noise0p2,400,0.2,3,Structured DT support count>=1,DT,467.83126465844447,423.10474053664757,479.3865548020198,0.7946887410364663,0.0,0.783387918721528,36.1528125,653.5397338867188,count>=1,,,,,,,,,,,,
gate2C_support_mask,N400_noise0p2,400,0.2,3,Structured DT support top3,DT,467.83126465844447,423.10474053664757,479.3865548020198,0.7946887410364663,0.0,0.783387918721528,36.1528125,653.5397338867188,top3,,,,,,,,,,,,
gate2C_support_mask,N400_noise0p2,400,0.2,3,Vanilla DT,DT,458.45286396010954,423.10474053664757,479.3865548020198,0.628055862890158,0.041875,0.7600044967010154,49.391875,491.93438720703125,none,,,,,,,,,,,,
gate2C_support_mask,N400_noise0p2,400,0.2,3,Vanilla DT support top3,DT,458.7013761349619,423.10474053664757,479.3865548020198,0.632471359762391,0.0,0.8101368076495334,51.6503125,491.93438720703125,top3,,,,,,,,,,,,
gate2A_fixed_value_guided_dt,N400_noise0p2,400,0.2,3,Q-DT fixed td denoised,Q-DT,459.6341984708495,423.10474053664757,479.3865548020198,0.6490454938421725,0.5146875,0.3126530775688357,10.2265625,43384.5078125,none,td,True,2000.0,0.1,,,,,,,,
gate2A_fixed_value_guided_dt,N400_noise0p2,400,0.2,3,Q-DT fixed td denoised support top3,Q-DT,476.02661433538475,423.10474053664757,479.3865548020198,0.940301489735339,0.0,0.7351091542073113,25.8890625,43384.5078125,top3,td,True,2000.0,0.1,,,,,,,,
gate2A_fixed_value_guided_dt,N400_noise0p2,400,0.2,3,Q-DT fixed q_sa,Q-DT,460.74521478310504,423.10474053664757,479.3865548020198,0.6687857301291017,0.4146875,0.40109182459484893,15.6721875,39440.96484375,none,q_sa,False,2000.0,0.1,,,,,,,,
gate2A_fixed_value_guided_dt,N400_noise0p2,400,0.2,3,Q-DT fixed q_sa support top3,Q-DT,474.65799845490955,423.10474053664757,479.3865548020198,0.9159842942373031,0.0,0.76550204737932,32.5965625,39440.96484375,top3,q_sa,False,2000.0,0.1,,,,,,,,
gate2B_iql,N400_noise0p2,400,0.2,3,IQL expectile0.7 beta3,IQL,458.1036773972215,423.10474053664757,479.3865548020198,0.6218516108160932,0.6084375,0.33006377209435833,8.15625,,none,,,,,2000.0,0.7,3.0,20.0,255.4155075073242,328.5632949829102,0.41966862231492996,5.361319279670715
gate2B_iql,N400_noise0p2,400,0.2,3,IQL expectile0.7 beta3 support top3,IQL,479.01667421048364,423.10474053664757,479.3865548020198,0.9934280620416364,0.0,0.7718386935618892,28.233125,,top3,,,,,2000.0,0.7,3.0,20.0,255.4155075073242,328.5632949829102,0.41966862231492996,5.361319279670715
gate2C_support_mask,N400_noise0p2,400,0.2,4,Structured DT,DT,467.29995647003466,427.25459431293825,483.248496641775,0.7151736259052112,0.163125,0.6124869715613409,21.759375,647.4295654296875,none,,,,,,,,,,,,
