cell_id,N,noise,method,family,n_runs,mean_nv,std_nv,median_nv,mean_value,mean_unseen_rate,mean_behavior_prob
N400_noise0p2,400,0.2,Q-DT fixed td denoised support top3,Q-DT,10,0.9266760273747737,0.02007101231552416,0.9330419085779779,474.62190651113116,0.0,0.7550156941458144
N400_noise0p2,400,0.2,Q-DT fixed q_sa support top3,Q-DT,10,0.917232681623634,0.032760291054201834,0.9201761987655939,474.0773823609822,0.0,0.7675162235615866
N400_noise0p2,400,0.2,IQL expectile0.7 beta3 support top3,IQL,10,0.9120885634554534,0.07482919803418815,0.93576368591254,473.78807433565953,0.0,0.7339885594869642
N400_noise0p2,400,0.2,Structured DT support count>=1,DT,10,0.7950218709364594,0.04346465887351517,0.7942151776291748,467.14027601914523,0.0,0.7671035504901028
N400_noise0p2,400,0.2,Structured DT support top3,DT,10,0.7950218709364594,0.04346465887351517,0.7942151776291748,467.14027601914523,0.0,0.7671035504901028
N400_noise0p2,400,0.2,Q-DT fixed td denoised,Q-DT,10,0.7366014204686419,0.053472391080505687,0.7446518653085543,463.8319487080439,0.36171875,0.5164285233548871
N400_noise0p2,400,0.2,Structured DT,DT,10,0.7127048492540662,0.05572414080481981,0.7127087537804051,462.46914974649115,0.30259375,0.5511901520631726
N400_noise0p2,400,0.2,Q-DT fixed q_sa,Q-DT,10,0.6695035200028715,0.1097171864983703,0.6964550671805205,460.0212793254592,0.42446874999999995,0.4375079258256352
N400_noise0p2,400,0.2,IQL expectile0.7 beta3,IQL,10,0.6031539533834797,0.10253746022565659,0.6103162633153282,456.23441089283494,0.46699999999999997,0.37946355635208967
N400_noise0p2,400,0.2,Vanilla DT support top3,DT,10,0.5876810213538856,0.03882130858165566,0.5872963390570036,455.3533914377111,0.0,0.8157926215254582
N400_noise0p2,400,0.2,Vanilla DT,DT,10,0.5824122225542918,0.05429393153485603,0.589264449519812,455.0705544334023,0.05803125,0.7722573888399239
