gate,cell_id,N,noise,seed,method,family,v_policy,v_behaviour_expected,v_optimal_same_start,nv,selected_unseen_rate,mean_behavior_prob,mean_logged_count,support_mask,bandit_updates,w_clip
gate2D_bandit,N1600_noise0p5,1600,0.5,0,Bandit DM,Bandit,317.1858592632272,420.6941057714956,478.158742618527,-1.8012512074826674,0.987265625,0.007928067291888233,0.5225,none,2000.0,10.0
gate2D_bandit,N1600_noise0p5,1600,0.5,0,Bandit DM support top3,Bandit,430.0036825688603,420.6941057714956,478.158742618527,0.1620053185430626,0.0,0.7590713183749884,126.076328125,top3,2000.0,10.0
gate2D_bandit,N1600_noise0p5,1600,0.5,0,Bandit IPS,Bandit,317.1858592632272,420.6941057714956,478.158742618527,-1.8012512074826674,0.987265625,0.007928067291888233,0.5225,none,2000.0,10.0
gate2D_bandit,N1600_noise0p5,1600,0.5,0,Bandit IPS support top3,Bandit,428.8207410437364,420.6941057714956,478.158742618527,0.14141976210297144,0.0,0.7302341252448475,121.30859375,top3,2000.0,10.0
gate2D_bandit,N1600_noise0p5,1600,0.5,0,Bandit DR,Bandit,317.1858592632272,420.6941057714956,478.158742618527,-1.8012512074826674,0.987265625,0.007928067291888233,0.5225,none,2000.0,10.0
gate2D_bandit,N1600_noise0p5,1600,0.5,0,Bandit DR support top3,Bandit,430.0036825688603,420.6941057714956,478.158742618527,0.1620053185430626,0.0,0.7590713183749884,126.076328125,top3,2000.0,10.0
gate2D_bandit,N1600_noise0p5,1600,0.5,0,"Bandit oracle (myopic, true R)",Bandit,420.6941057714956,420.6941057714956,478.158742618527,0.0,0.0,0.8459761922012171,142.960078125,none,,
gate2D_bandit,N1600_noise0p5,1600,0.5,1,Bandit DM,Bandit,385.2463847457541,422.2408621751993,479.08172757209076,-0.6508429660796193,0.96171875,0.026997644500815366,1.8984375,none,2000.0,10.0
gate2D_bandit,N1600_noise0p5,1600,0.5,1,Bandit DM support top3,Bandit,429.4483387980343,422.2408621751993,479.08172757209076,0.12680096568742852,0.0,0.774622702424584,127.3265625,top3,2000.0,10.0
gate2D_bandit,N1600_noise0p5,1600,0.5,1,Bandit IPS,Bandit,282.05780891069577,422.2408621751993,479.08172757209076,-2.4662371391722333,1.0,0.0,0.0,none,2000.0,10.0
gate2D_bandit,N1600_noise0p5,1600,0.5,1,Bandit IPS support top3,Bandit,431.0792896816648,422.2408621751993,479.08172757209076,0.1554942459927584,0.0,0.7812551282692743,132.2625,top3,2000.0,10.0
gate2D_bandit,N1600_noise0p5,1600,0.5,1,Bandit DR,Bandit,407.21448052589517,422.2408621751993,479.08172757209076,-0.264358776812816,0.93203125,0.043771196297071754,4.60015625,none,2000.0,10.0
gate2D_bandit,N1600_noise0p5,1600,0.5,1,Bandit DR support top3,Bandit,429.839525728399,422.2408621751993,479.08172757209076,0.1336831080973522,0.0,0.7521121311262684,127.003359375,top3,2000.0,10.0
gate2D_bandit,N1600_noise0p5,1600,0.5,1,"Bandit oracle (myopic, true R)",Bandit,422.2408621751993,422.2408621751993,479.08172757209076,0.0,0.0,0.8518105537581425,146.903984375,none,,
gate2D_bandit,N1600_noise0p5,1600,0.5,2,Bandit DM,Bandit,406.96500726805783,420.7019605669336,477.9242309914933,-0.24006305931160538,0.94578125,0.04309585620858053,3.763984375,none,2000.0,10.0
gate2D_bandit,N1600_noise0p5,1600,0.5,2,Bandit DM support top3,Bandit,428.4175022453748,420.7019605669336,477.9242309914933,0.13483459536288675,0.0,0.7918465450339801,126.46609375,top3,2000.0,10.0
gate2D_bandit,N1600_noise0p5,1600,0.5,2,Bandit IPS,Bandit,316.5598767635272,420.7019605669336,477.9242309914933,-1.8199572129998687,0.985703125,0.008504880641731903,0.62859375,none,2000.0,10.0
gate2D_bandit,N1600_noise0p5,1600,0.5,2,Bandit IPS support top3,Bandit,428.4175022453748,420.7019605669336,477.9242309914933,0.13483459536288675,0.0,0.7918465450339801,126.46609375,top3,2000.0,10.0
gate2D_bandit,N1600_noise0p5,1600,0.5,2,Bandit DR,Bandit,403.8864191836112,420.7019605669336,477.9242309914933,-0.29386358245766503,0.93546875,0.04442065929955204,4.5134375,none,2000.0,10.0
gate2D_bandit,N1600_noise0p5,1600,0.5,2,Bandit DR support top3,Bandit,428.0202765057925,420.7019605669336,477.9242309914933,0.12789279216921556,0.0,0.8011328908526414,128.3275,top3,2000.0,10.0
