cell_id,N,noise,method,family,n_runs,mean_nv,std_nv,median_nv,mean_value,mean_unseen_rate,mean_behavior_prob
N1600_noise0p5,1600,0.5,Bandit IPS support top3,Bandit,10,0.1392109326738989,0.013259084944120675,0.14074908113896,429.20868793724264,0.0,0.7753722815149612
N1600_noise0p5,1600,0.5,Bandit DM support top3,Bandit,10,0.13501496768737736,0.019801876671283157,0.13229388849241358,428.9707162769124,0.0,0.7739494876604845
N1600_noise0p5,1600,0.5,Bandit DR support top3,Bandit,10,0.13276734813417454,0.017093466767919643,0.13266767375949562,428.84367498183053,0.0,0.7700183116695942
N1600_noise0p5,1600,0.5,"Bandit oracle (myopic, true R)",Bandit,10,0.0,0.0,0.0,421.2833522260597,0.0,0.8486337769947481
N1600_noise0p5,1600,0.5,Bandit DR,Bandit,10,-1.0558914049324648,0.7549600517196726,-1.0599266331983912,361.20624222601975,0.9584140624999999,0.028413399427760656
N1600_noise0p5,1600,0.5,Bandit DM,Bandit,10,-1.0921406996198542,0.7275734410215878,-1.0748312735749657,359.1479072908284,0.9656953125,0.023494515866082644
N1600_noise0p5,1600,0.5,Bandit IPS,Bandit,10,-2.3345995597916884,0.6336463650184091,-2.1431335896136785,288.3580740207798,0.9934687500000001,0.003789953977290911
