gate,cell_id,N,noise,seed,method,family,v_policy,v_behaviour_expected,v_optimal_same_start,nv,selected_unseen_rate,mean_behavior_prob,mean_logged_count,support_mask,bandit_updates,w_clip
gate2D_bandit,N400_noise0p05,400,0.05,0,Bandit DM,Bandit,318.59157473907965,421.48917105942843,479.2131268458336,-1.7825804714614288,0.9846875,0.008540372670807454,0.18875,none,2000.0,10.0
gate2D_bandit,N400_noise0p05,400,0.05,0,Bandit DM support top3,Bandit,430.39662047468255,421.48917105942843,479.2131268458336,0.1543111398708395,0.0,0.7700403859663729,30.5028125,top3,2000.0,10.0
gate2D_bandit,N400_noise0p05,400,0.05,0,Bandit IPS,Bandit,182.81563033515465,421.48917105942843,479.2131268458336,-4.134739857528699,1.0,0.0,0.0,none,2000.0,10.0
gate2D_bandit,N400_noise0p05,400,0.05,0,Bandit IPS support top3,Bandit,448.3491283022663,421.48917105942843,479.2131268458336,0.4653173344915456,0.0,0.8457814574410579,40.4534375,top3,2000.0,10.0
gate2D_bandit,N400_noise0p05,400,0.05,0,Bandit DR,Bandit,318.59157473907965,421.48917105942843,479.2131268458336,-1.7825804714614288,0.9846875,0.008540372670807454,0.18875,none,2000.0,10.0
gate2D_bandit,N400_noise0p05,400,0.05,0,Bandit DR support top3,Bandit,430.39662047468255,421.48917105942843,479.2131268458336,0.1543111398708395,0.0,0.7700403859663729,30.5028125,top3,2000.0,10.0
gate2D_bandit,N400_noise0p05,400,0.05,0,"Bandit oracle (myopic, true R)",Bandit,421.48917105942843,421.48917105942843,479.2131268458336,0.0,0.0,0.8602517238392546,37.2453125,none,,
gate2D_bandit,N400_noise0p05,400,0.05,1,Bandit DM,Bandit,405.8162686838022,422.7909092428097,479.07216495487467,-0.3016037994221338,0.93625,0.043319293319293316,1.0046875,none,2000.0,10.0
gate2D_bandit,N400_noise0p05,400,0.05,1,Bandit DM support top3,Bandit,430.7201325519166,422.7909092428097,479.07216495487467,0.14088568580759556,0.0,0.7857354329855621,35.81625,top3,2000.0,10.0
gate2D_bandit,N400_noise0p05,400,0.05,1,Bandit IPS,Bandit,282.2020643609203,422.7909092428097,479.07216495487467,-2.4979692279991434,1.0,0.0,0.0,none,2000.0,10.0
gate2D_bandit,N400_noise0p05,400,0.05,1,Bandit IPS support top3,Bandit,440.2101360638403,422.7909092428097,479.07216495487467,0.3095031658523653,0.0,0.7095066985016227,25.149375,top3,2000.0,10.0
gate2D_bandit,N400_noise0p05,400,0.05,1,Bandit DR,Bandit,405.8162686838022,422.7909092428097,479.07216495487467,-0.3016037994221338,0.93625,0.043319293319293316,1.0046875,none,2000.0,10.0
gate2D_bandit,N400_noise0p05,400,0.05,1,Bandit DR support top3,Bandit,430.7201325519166,422.7909092428097,479.07216495487467,0.14088568580759556,0.0,0.7857354329855621,35.81625,top3,2000.0,10.0
gate2D_bandit,N400_noise0p05,400,0.05,1,"Bandit oracle (myopic, true R)",Bandit,422.7909092428097,422.7909092428097,479.07216495487467,0.0,0.0,0.8535035002881634,41.3390625,none,,
gate2D_bandit,N400_noise0p05,400,0.05,2,Bandit DM,Bandit,311.9296144627662,417.1824539201058,474.5590275047475,-1.8344218359792945,0.9871875,0.008455034588777862,0.1546875,none,2000.0,10.0
gate2D_bandit,N400_noise0p05,400,0.05,2,Bandit DM support top3,Bandit,424.28759044199774,417.1824539201058,474.5590275047475,0.1238334058308741,0.0,0.7982619425613219,34.4828125,top3,2000.0,10.0
gate2D_bandit,N400_noise0p05,400,0.05,2,Bandit IPS,Bandit,276.926803637312,417.1824539201058,474.5590275047475,-2.444475881361042,1.0,0.0,0.0,none,2000.0,10.0
gate2D_bandit,N400_noise0p05,400,0.05,2,Bandit IPS support top3,Bandit,423.7407570511517,417.1824539201058,474.5590275047475,0.11430280202025561,0.0,0.8128826444813303,34.6934375,top3,2000.0,10.0
gate2D_bandit,N400_noise0p05,400,0.05,2,Bandit DR,Bandit,311.9296144627662,417.1824539201058,474.5590275047475,-1.8344218359792945,0.9871875,0.008455034588777862,0.1546875,none,2000.0,10.0
gate2D_bandit,N400_noise0p05,400,0.05,2,Bandit DR support top3,Bandit,424.28759044199774,417.1824539201058,474.5590275047475,0.1238334058308741,0.0,0.7982619425613219,34.4828125,top3,2000.0,10.0
gate2D_bandit,N400_noise0p05,400,0.05,2,"Bandit oracle (myopic, true R)",Bandit,417.1824539201058,417.1824539201058,474.5590275047475,0.0,0.0,0.8500428343098188,39.466875,none,,
gate2D_bandit,N400_noise0p05,400,0.05,3,Bandit DM,Bandit,318.4295502706789,423.10474053664757,479.3865548020198,-1.8598403699713495,0.9871875,0.008494208494208495,0.143125,none,2000.0,10.0
