method,n_runs,mean_nv,median_nv,mean_unseen_rate,mean_behavior_prob
Bandit IPS support top3,10,0.24174672818987836,0.14309616513847195,0.0,0.7962141426683603
Bandit DR support top3,10,0.16409904942538941,0.1642315334490474,0.0,0.8047300496353289
Bandit DM support top3,10,0.16357116819999692,0.16854450228253637,0.0,0.8031195839770051
"Bandit oracle (myopic, true R)",10,0.0,0.0,0.00215625,0.8499346323263424
Bandit DR,10,-1.6732680052018574,-1.8215111874387229,0.98184375,0.011198777010141013
Bandit DM,10,-1.6865873902654354,-1.8375713288900832,0.9762187499999999,0.015477572403980209
Bandit IPS,10,-3.44209513557961,-3.733219823981374,1.0,0.0
