N,noise,seed,v_logger,v_anchor,v_opt,v_low,v_high,nv_logger,nv_low,nv_high
100,0.05,0,450.3686902738752,425.0469525373324,482.26747238006357,455.1603958155872,445.57698473216317,0.4425289704836447,0.5262700052537215,0.35878793571356793
100,0.05,1,445.1680465876484,421.1367484506907,477.84490227066374,450.71164834353453,439.6244448317623,0.4237714776123379,0.5215281736508823,0.3260147815737935
100,0.05,2,452.46748374177014,428.2572553930546,483.61336583743207,455.1489638609367,449.7860036226035,0.43735421716528083,0.48579476144559025,0.38891367288497036
100,0.05,3,451.0849861183745,427.8075954406258,483.28279877863395,457.05858741977653,445.1113848169725,0.41959991630712046,0.5272804824333069,0.31191935018093403
100,0.05,4,440.2995203799072,415.8730447844656,474.31553538531443,446.48182595098035,434.11721480883404,0.41795747142725026,0.5237419016853155,0.312173041169184
100,0.05,5,437.4485011691721,413.08161086848617,472.4205638661845,445.76874266787837,429.12825967046587,0.41063903337881774,0.5508545423890454,0.27042352436859
100,0.05,6,438.0265647709673,413.54102946207837,472.2493846542733,444.72162505621867,431.3315044857159,0.41707070873864643,0.5311100181918511,0.30303139928544176
100,0.05,7,446.8608904930948,422.9552853756405,480.1843549282328,452.70941387747183,441.0123671087178,0.4177178714304548,0.5199128473421697,0.31552289551873997
100,0.05,8,436.6417545167491,414.15142866616,472.41867197590335,445.33152830073277,427.95198073276543,0.38598575414032493,0.5351222721971283,0.2368492360835226
100,0.05,9,445.88846709831614,420.68245839622364,477.90153050673655,450.0726942911104,441.7042399055219,0.44051760667159406,0.5136440492799753,0.36739116406321276
100,0.2,0,450.3686902738752,425.0469525373324,482.26747238006357,455.1603958155872,445.57698473216317,0.4425289704836447,0.5262700052537215,0.35878793571356793
100,0.2,1,445.1680465876484,421.1367484506907,477.84490227066374,450.71164834353453,439.6244448317623,0.4237714776123379,0.5215281736508823,0.3260147815737935
100,0.2,2,452.46748374177014,428.2572553930546,483.61336583743207,455.1489638609367,449.7860036226035,0.43735421716528083,0.48579476144559025,0.38891367288497036
100,0.2,3,451.0849861183745,427.8075954406258,483.28279877863395,457.05858741977653,445.1113848169725,0.41959991630712046,0.5272804824333069,0.31191935018093403
100,0.2,4,440.2995203799072,415.8730447844656,474.31553538531443,446.48182595098035,434.11721480883404,0.41795747142725026,0.5237419016853155,0.312173041169184
100,0.2,5,437.4485011691721,413.08161086848617,472.4205638661845,445.76874266787837,429.12825967046587,0.41063903337881774,0.5508545423890454,0.27042352436859
100,0.2,6,438.0265647709673,413.54102946207837,472.2493846542733,444.72162505621867,431.3315044857159,0.41707070873864643,0.5311100181918511,0.30303139928544176
100,0.2,7,446.8608904930948,422.9552853756405,480.1843549282328,452.70941387747183,441.0123671087178,0.4177178714304548,0.5199128473421697,0.31552289551873997
100,0.2,8,436.6417545167491,414.15142866616,472.41867197590335,445.33152830073277,427.95198073276543,0.38598575414032493,0.5351222721971283,0.2368492360835226
100,0.2,9,445.88846709831614,420.68245839622364,477.90153050673655,450.0726942911104,441.7042399055219,0.44051760667159406,0.5136440492799753,0.36739116406321276
100,0.5,0,450.3686902738752,425.0469525373324,482.26747238006357,455.1603958155872,445.57698473216317,0.4425289704836447,0.5262700052537215,0.35878793571356793
100,0.5,1,445.1680465876484,421.1367484506907,477.84490227066374,450.71164834353453,439.6244448317623,0.4237714776123379,0.5215281736508823,0.3260147815737935
100,0.5,2,452.46748374177014,428.2572553930546,483.61336583743207,455.1489638609367,449.7860036226035,0.43735421716528083,0.48579476144559025,0.38891367288497036
