gate,cell_id,N,noise,seed,method,family,v_policy,v_behaviour_expected,v_optimal_same_start,nv,selected_unseen_rate,mean_behavior_prob,mean_logged_count,target_q95,support_mask,qdt_mode,qdt_denoise,cql_updates,cql_alpha,iql_updates,iql_expectile,iql_awr_beta,iql_weight_clip,iql_final_q_loss,iql_final_v_loss,iql_final_pi_loss,iql_mean_adv_weight
gate2C_support_mask,N400_noise0p5,400,0.5,0,Structured DT,DT,465.2783847680676,421.48917105942843,479.2131268458336,0.7585968964197736,0.18875,0.614480042508264,18.780625,722.2866821289062,none,,,,,,,,,,,,
gate2C_support_mask,N400_noise0p5,400,0.5,0,Structured DT support count>=1,DT,469.6985977766443,421.48917105942843,479.2131268458336,0.8351719153760753,0.0,0.7690065585439192,31.5809375,722.2866821289062,count>=1,,,,,,,,,,,,
gate2C_support_mask,N400_noise0p5,400,0.5,0,Structured DT support top3,DT,469.6985977766443,421.48917105942843,479.2131268458336,0.8351719153760753,0.0,0.7690065585439192,31.5809375,722.2866821289062,top3,,,,,,,,,,,,
gate2C_support_mask,N400_noise0p5,400,0.5,0,Vanilla DT,DT,455.9546569237923,421.48917105942843,479.2131268458336,0.5970742197900616,0.0359375,0.7911608585991255,50.77,570.5255126953125,none,,,,,,,,,,,,
gate2C_support_mask,N400_noise0p5,400,0.5,0,Vanilla DT support top3,DT,457.0522022057181,421.48917105942843,479.2131268458336,0.6160879077290352,0.0,0.8191460304188785,52.0503125,570.5255126953125,top3,,,,,,,,,,,,
gate2A_fixed_value_guided_dt,N400_noise0p5,400,0.5,0,Q-DT fixed td denoised,Q-DT,469.60264110859794,421.48917105942843,479.2131268458336,0.8335095783664386,0.23875,0.5957193588092057,18.5403125,27319.662109375,none,td,True,2000.0,0.1,,,,,,,,
gate2A_fixed_value_guided_dt,N400_noise0p5,400,0.5,0,Q-DT fixed td denoised support top3,Q-DT,474.04778663695936,421.48917105942843,479.2131268458336,0.9105165240582708,0.0,0.7424646115372354,26.1053125,27319.662109375,top3,td,True,2000.0,0.1,,,,,,,,
gate2A_fixed_value_guided_dt,N400_noise0p5,400,0.5,0,Q-DT fixed q_sa,Q-DT,461.1820225733289,421.48917105942843,479.2131268458336,0.687632213924755,0.4825,0.37996221196506874,13.4359375,25115.1640625,none,q_sa,False,2000.0,0.1,,,,,,,,
gate2A_fixed_value_guided_dt,N400_noise0p5,400,0.5,0,Q-DT fixed q_sa support top3,Q-DT,474.2786233130267,421.48917105942843,479.2131268458336,0.9145154994043383,0.0,0.7515388799425015,29.0528125,25115.1640625,top3,q_sa,False,2000.0,0.1,,,,,,,,
gate2B_iql,N400_noise0p5,400,0.5,0,IQL expectile0.7 beta3,IQL,463.6240310174378,421.48917105942843,479.2131268458336,0.7299371531971957,0.4865625,0.37628083109856436,10.224375,,none,,,,,2000.0,0.7,3.0,20.0,1427.0705261230469,172.33141632080077,0.3508864283561707,5.695710158348083
gate2B_iql,N400_noise0p5,400,0.5,0,IQL expectile0.7 beta3 support top3,IQL,470.42863916443616,421.48917105942843,479.2131268458336,0.847819028309451,0.0,0.6480578913388522,35.6525,,top3,,,,,2000.0,0.7,3.0,20.0,1427.0705261230469,172.33141632080077,0.3508864283561707,5.695710158348083
gate2C_support_mask,N400_noise0p5,400,0.5,1,Structured DT,DT,459.909175925586,422.7909092428097,479.07216495487467,0.6595138330365876,0.3828125,0.4688527535857867,31.8728125,633.4935302734375,none,,,,,,,,,,,,
gate2C_support_mask,N400_noise0p5,400,0.5,1,Structured DT support count>=1,DT,466.4033472129775,422.7909092428097,479.07216495487467,0.7749016509739788,0.0,0.7393585553040919,25.23375,633.4935302734375,count>=1,,,,,,,,,,,,
gate2C_support_mask,N400_noise0p5,400,0.5,1,Structured DT support top3,DT,466.4033472129775,422.7909092428097,479.07216495487467,0.7749016509739788,0.0,0.7393585553040919,25.23375,633.4935302734375,top3,,,,,,,,,,,,
gate2C_support_mask,N400_noise0p5,400,0.5,1,Vanilla DT,DT,449.4011605834456,422.7909092428097,479.07216495487467,0.4728084155899789,0.0240625,0.8193008846224722,57.2284375,594.5242919921875,none,,,,,,,,,,,,
gate2C_support_mask,N400_noise0p5,400,0.5,1,Vanilla DT support top3,DT,452.26593007177644,422.7909092428097,479.07216495487467,0.5237093674626064,0.0,0.8239441292168803,56.4596875,594.5242919921875,top3,,,,,,,,,,,,
gate2A_fixed_value_guided_dt,N400_noise0p5,400,0.5,1,Q-DT fixed td denoised,Q-DT,463.2895043008359,422.7909092428097,479.07216495487467,0.719575186190179,0.4290625,0.4419138479714308,18.0796875,33058.77734375,none,td,True,2000.0,0.1,,,,,,,,
gate2A_fixed_value_guided_dt,N400_noise0p5,400,0.5,1,Q-DT fixed td denoised support top3,Q-DT,473.34753649477295,422.7909092428097,479.07216495487467,0.8982853458460678,0.0,0.7474852105039141,25.8115625,33058.77734375,top3,td,True,2000.0,0.1,,,,,,,,
gate2A_fixed_value_guided_dt,N400_noise0p5,400,0.5,1,Q-DT fixed q_sa,Q-DT,462.71416871343155,422.7909092428097,479.07216495487467,0.7093526781788477,0.3596875,0.4863710565484463,14.798125,30118.453125,none,q_sa,False,2000.0,0.1,,,,,,,,
gate2A_fixed_value_guided_dt,N400_noise0p5,400,0.5,1,Q-DT fixed q_sa support top3,Q-DT,474.8155068363693,422.7909092428097,479.07216495487467,0.9243681032938847,0.0,0.7549447481767263,28.0190625,30118.453125,top3,q_sa,False,2000.0,0.1,,,,,,,,
gate2B_iql,N400_noise0p5,400,0.5,1,IQL expectile0.7 beta3,IQL,447.0076485736233,422.7909092428097,479.07216495487467,0.4302807217860692,0.43875,0.4019085884098372,10.56125,,none,,,,,2000.0,0.7,3.0,20.0,1745.3579711914062,509.4521240234375,0.6761413171887398,4.745772194862366
gate2B_iql,N400_noise0p5,400,0.5,1,IQL expectile0.7 beta3 support top3,IQL,471.053479596588,422.7909092428097,479.07216495487467,0.8575247610090596,0.0,0.7509637590518511,33.9303125,,top3,,,,,2000.0,0.7,3.0,20.0,1745.3579711914062,509.4521240234375,0.6761413171887398,4.745772194862366
gate2C_support_mask,N400_noise0p5,400,0.5,2,Structured DT,DT,458.12990007324805,417.1824539201058,474.5590275047475,0.7136614056037475,0.40875,0.4573761246773061,16.75125,651.2802734375,none,,,,,,,,,,,,
gate2C_support_mask,N400_noise0p5,400,0.5,2,Structured DT support count>=1,DT,463.70687437101225,417.1824539201058,474.5590275047475,0.8108609061897674,0.0,0.762622301625546,30.8075,651.2802734375,count>=1,,,,,,,,,,,,
