method,family,n_runs,mean_nv,median_nv,mean_value,mean_unseen_rate,mean_behavior_prob
IQL expectile0.7 beta3 support top3,IQL,10,0.8340038160181841,0.8511294078741478,468.11301264396377,0.0,0.7671216908932716
Q-DT fixed q_sa support top3,Q-DT,10,0.7603295523940118,0.7884216574766882,463.88138516967746,0.0,0.8157498776876952
Structured DT support count>=1,DT,10,0.7223692876389359,0.712657384243196,461.742439739798,0.0,0.8089748612243721
Structured DT support top3,DT,10,0.7223692876389359,0.712657384243196,461.742439739798,0.0,0.8089748612243721
Q-DT fixed td denoised support top3,Q-DT,10,0.7164126143175207,0.7145200371536625,461.47271091605023,0.0,0.8174106090138465
Q-DT fixed td denoised,Q-DT,10,0.6368255095136753,0.6594099618297019,456.8745574681031,0.307125,0.5944156623849359
Structured DT,DT,10,0.6197201964593767,0.6239887240797011,455.8445733917121,0.273125,0.6239322084975544
Vanilla DT support top3,DT,10,0.5274438046516179,0.5488088879147157,450.55669914725394,0.0,0.8392409640256824
Q-DT fixed q_sa,Q-DT,10,0.5021041190786388,0.515926925694253,449.08345283463905,0.506,0.4671098754680167
Vanilla DT,DT,10,0.4680994213380158,0.45866900320364107,447.18879786078026,0.20012500000000003,0.705749886268881
IQL expectile0.7 beta3,IQL,10,0.44054493634183345,0.46744756651541197,445.7516308773801,0.583625,0.3253090661814416
