policy,n_decisions,mean_pb_at_target_argmax,p05_pb_at_target_argmax,target_argmax_pb_lt_0.01,target_argmax_pb_lt_0.05,mean_target_prob_on_logged_action,mean_target_entropy,mean_logger_entropy
logged_policy_estimated,4328,0.3104033367358729,0.19897845917095014,0.0,0.0,0.23418049252992584,1.746401134067266,1.746401134067266
vanilla_dt,4328,0.19200418765971264,0.023535268207536108,0.0020794824399260627,0.1455637707948244,0.1985048322952818,1.867904207241984,1.746401134067266
bc,4328,0.2854387261094564,0.13945832652390858,0.01963955637707948,0.025184842883548983,0.3186571573814206,1.5339602923512758,1.746401134067266
iql,4328,0.2861311489688286,0.14962932221390474,0.013170055452865065,0.015480591497227357,0.27905009131191694,1.6413796359019635,1.746401134067266
iql_support_top3,4328,0.2837744846734599,0.14274263267942655,0.020794824399260628,0.024953789279112754,0.37558520039027254,0.879050079688967,1.746401134067266
vanilla_dt_support_top3,4328,0.2371430854005071,0.12138044131184009,0.0025415896487985213,0.01756007393715342,0.3346844242547199,0.8598860844641193,1.746401134067266
bc_support_top3,4328,0.28529564427104187,0.1401271111951209,0.022412199630314232,0.02865064695009242,0.3755736853016918,0.879638168759924,1.746401134067266
