gate,cell_id,N,noise,seed,method,family,v_policy,v_behaviour_expected,v_optimal_same_start,nv,selected_unseen_rate,mean_behavior_prob,mean_logged_count,support_mask,bandit_updates,w_clip
gate2D_bandit,N1600_noise0p2,1600,0.2,0,Bandit DM,Bandit,317.1858592632272,420.6941057714956,478.158742618527,-1.8012512074826674,0.987265625,0.007928067291888233,0.5225,none,2000.0,10.0
gate2D_bandit,N1600_noise0p2,1600,0.2,0,Bandit DM support top3,Bandit,428.8207410437364,420.6941057714956,478.158742618527,0.14141976210297144,0.0,0.7302341252448475,121.30859375,top3,2000.0,10.0
gate2D_bandit,N1600_noise0p2,1600,0.2,0,Bandit IPS,Bandit,317.1858592632272,420.6941057714956,478.158742618527,-1.8012512074826674,0.987265625,0.007928067291888233,0.5225,none,2000.0,10.0
gate2D_bandit,N1600_noise0p2,1600,0.2,0,Bandit IPS support top3,Bandit,428.8207410437364,420.6941057714956,478.158742618527,0.14141976210297144,0.0,0.7302341252448475,121.30859375,top3,2000.0,10.0
gate2D_bandit,N1600_noise0p2,1600,0.2,0,Bandit DR,Bandit,317.1858592632272,420.6941057714956,478.158742618527,-1.8012512074826674,0.987265625,0.007928067291888233,0.5225,none,2000.0,10.0
gate2D_bandit,N1600_noise0p2,1600,0.2,0,Bandit DR support top3,Bandit,428.8207410437364,420.6941057714956,478.158742618527,0.14141976210297144,0.0,0.7302341252448475,121.30859375,top3,2000.0,10.0
gate2D_bandit,N1600_noise0p2,1600,0.2,0,"Bandit oracle (myopic, true R)",Bandit,420.6941057714956,420.6941057714956,478.158742618527,0.0,0.0,0.8459761922012171,142.960078125,none,,
gate2D_bandit,N1600_noise0p2,1600,0.2,1,Bandit DM,Bandit,407.21448052589517,422.2408621751993,479.08172757209076,-0.264358776812816,0.93203125,0.043771196297071754,4.60015625,none,2000.0,10.0
gate2D_bandit,N1600_noise0p2,1600,0.2,1,Bandit DM support top3,Bandit,429.30989140895605,422.2408621751993,479.08172757209076,0.12436526404721722,0.0,0.7628119057590552,129.609921875,top3,2000.0,10.0
gate2D_bandit,N1600_noise0p2,1600,0.2,1,Bandit IPS,Bandit,282.05780891069577,422.2408621751993,479.08172757209076,-2.4662371391722333,1.0,0.0,0.0,none,2000.0,10.0
gate2D_bandit,N1600_noise0p2,1600,0.2,1,Bandit IPS support top3,Bandit,429.4483387980343,422.2408621751993,479.08172757209076,0.12680096568742852,0.0,0.774622702424584,127.3265625,top3,2000.0,10.0
gate2D_bandit,N1600_noise0p2,1600,0.2,1,Bandit DR,Bandit,407.21448052589517,422.2408621751993,479.08172757209076,-0.264358776812816,0.93203125,0.043771196297071754,4.60015625,none,2000.0,10.0
gate2D_bandit,N1600_noise0p2,1600,0.2,1,Bandit DR support top3,Bandit,429.30989140895605,422.2408621751993,479.08172757209076,0.12436526404721722,0.0,0.7628119057590552,129.609921875,top3,2000.0,10.0
gate2D_bandit,N1600_noise0p2,1600,0.2,1,"Bandit oracle (myopic, true R)",Bandit,422.2408621751993,422.2408621751993,479.08172757209076,0.0,0.0,0.8518105537581425,146.903984375,none,,
gate2D_bandit,N1600_noise0p2,1600,0.2,2,Bandit DM,Bandit,406.132700274738,420.7019605669336,477.9242309914933,-0.25460821781623205,0.952109375,0.03544671796372098,4.060234375,none,2000.0,10.0
gate2D_bandit,N1600_noise0p2,1600,0.2,2,Bandit DM support top3,Bandit,428.4175022453748,420.7019605669336,477.9242309914933,0.13483459536288675,0.0,0.7918465450339801,126.46609375,top3,2000.0,10.0
gate2D_bandit,N1600_noise0p2,1600,0.2,2,Bandit IPS,Bandit,316.5598767635272,420.7019605669336,477.9242309914933,-1.8199572129998687,0.985703125,0.008504880641731903,0.62859375,none,2000.0,10.0
gate2D_bandit,N1600_noise0p2,1600,0.2,2,Bandit IPS support top3,Bandit,429.23359826509926,420.7019605669336,477.9242309914933,0.1490964555384695,0.0,0.803360732308035,138.733984375,top3,2000.0,10.0
gate2D_bandit,N1600_noise0p2,1600,0.2,2,Bandit DR,Bandit,403.8864191836112,420.7019605669336,477.9242309914933,-0.29386358245766503,0.93546875,0.04442065929955204,4.5134375,none,2000.0,10.0
gate2D_bandit,N1600_noise0p2,1600,0.2,2,Bandit DR support top3,Bandit,428.0202765057925,420.7019605669336,477.9242309914933,0.12789279216921556,0.0,0.8011328908526414,128.3275,top3,2000.0,10.0
gate2D_bandit,N1600_noise0p2,1600,0.2,2,"Bandit oracle (myopic, true R)",Bandit,420.7019605669336,420.7019605669336,477.9242309914933,0.0,0.0,0.8470534631522537,144.488359375,none,,
gate2D_bandit,N1600_noise0p2,1600,0.2,3,Bandit DM,Bandit,316.4750228010731,420.1985074854882,477.65883098140347,-1.8051322786546549,0.9878125,0.007344414379590259,0.465,none,2000.0,10.0
gate2D_bandit,N1600_noise0p2,1600,0.2,3,Bandit DM support top3,Bandit,428.4043673275035,420.1985074854882,477.65883098140347,0.14280914799581013,0.0,0.7612292285811617,124.86390625,top3,2000.0,10.0
