cell_id,N,noise,method,family,n_runs,mean_nv,std_nv,median_nv,mean_value,mean_unseen_rate,mean_behavior_prob
N1600_noise0p2,1600,0.2,Bandit IPS support top3,Bandit,10,0.15024154833010853,0.03624935446936765,0.14201908108189903,429.83226158229746,0.0,0.7738820423197512
N1600_noise0p2,1600,0.2,Bandit DR support top3,Bandit,10,0.13571890631656477,0.012502479598680708,0.13358286319704546,429.0108665130075,0.0,0.7673360270011833
N1600_noise0p2,1600,0.2,Bandit DM support top3,Bandit,10,0.13539264708349713,0.016502823646162436,0.1381271787329291,428.99031234683326,0.0,0.7682249716570648
N1600_noise0p2,1600,0.2,"Bandit oracle (myopic, true R)",Bandit,10,0.0,0.0,0.0,421.2833522260597,0.0,0.8486337769947481
N1600_noise0p2,1600,0.2,Bandit DM,Bandit,10,-1.2067512294062381,0.8059108686029659,-1.8031917430686613,352.65985072795746,0.9681328125,0.020969670799358
N1600_noise0p2,1600,0.2,Bandit DR,Bandit,10,-1.2106767658703812,0.800837367055938,-1.8031917430686613,352.4352226188448,0.96646875,0.02186706493294111
N1600_noise0p2,1600,0.2,Bandit IPS,Bandit,10,-2.2759062256692126,0.6508437812197861,-1.8592258304653648,291.7330701023019,0.9917265625,0.00545577069768072
