cell_id,N,noise,seed,config,cql_updates,cql_alpha,lr
N1600_noise0p05,1600,0.05,0,fixed_cql_alpha0.1,2000,0.1,0.0003
N1600_noise0p05,1600,0.05,1,fixed_cql_alpha0.1,2000,0.1,0.0003
N1600_noise0p05,1600,0.05,2,fixed_cql_alpha0.1,2000,0.1,0.0003
N1600_noise0p05,1600,0.05,3,fixed_cql_alpha0.1,2000,0.1,0.0003
N1600_noise0p05,1600,0.05,4,fixed_cql_alpha0.1,2000,0.1,0.0003
N1600_noise0p05,1600,0.05,5,fixed_cql_alpha0.1,2000,0.1,0.0003
N1600_noise0p05,1600,0.05,6,fixed_cql_alpha0.1,2000,0.1,0.0003
N1600_noise0p05,1600,0.05,7,fixed_cql_alpha0.1,2000,0.1,0.0003
N1600_noise0p05,1600,0.05,8,fixed_cql_alpha0.1,2000,0.1,0.0003
N1600_noise0p05,1600,0.05,9,fixed_cql_alpha0.1,2000,0.1,0.0003
