method,family,n_runs,mean_nv,median_nv,mean_value,mean_unseen_rate,mean_behavior_prob
Q-DT fixed td denoised support top3,Q-DT,10,0.918425557266296,0.9291788660911999,473.5661037551384,0.0,0.767553824325294
IQL expectile0.7 beta3 support top3,IQL,10,0.9182355720627579,0.9498039877383566,473.5377768309555,0.0,0.7213811402020204
Q-DT fixed q_sa support top3,Q-DT,10,0.8947066250857574,0.8935741810596016,472.2157545453824,0.0,0.7705247651051285
Q-DT fixed td denoised,Q-DT,10,0.7696842127241987,0.7671713336430912,465.0914466816521,0.3000234375,0.5778829604914006
Q-DT fixed q_sa,Q-DT,10,0.7458252213557766,0.7671683994933087,463.7416202772433,0.337515625,0.49927045207162146
Structured DT,DT,10,0.705332676638758,0.6962333688512284,461.43554745020083,0.16140625,0.6786801775741788
Structured DT support count>=1,DT,10,0.67505954152712,0.6781845654033997,459.7065335545359,0.0,0.7977093473470733
Structured DT support top3,DT,10,0.67505954152712,0.6781845654033997,459.7065335545359,0.0,0.7977093473470733
IQL expectile0.7 beta3,IQL,10,0.6241095765508169,0.6120802651006796,456.808923789803,0.45481249999999995,0.39405957223754184
Vanilla DT support top3,DT,10,0.5350800615053524,0.5278200150374793,451.74914205398284,0.0,0.7637418358617587
Vanilla DT,DT,10,0.47505446678197183,0.49163841529763214,448.33335712329665,0.16899999999999998,0.6489810736982599
