seed,arm,spread_total,spread_between,spread_within,disc_ratio,action_gap,rank_corr_action
0,A_structured,220.13998413085938,149.19620502375525,60.298373219076566,0.4041548725014538,0.26227030856399275,
0,QDT_legacy,869.968505859375,1012.8825783085556,0.0,0.0,0.0,
0,QDT_td,1933.9266357421875,578.1519445427889,369.6130595259278,0.6393009018039769,0.20593277227783613,
0,QDT_qsa,1168.735595703125,917.2745144270627,419.20856832207966,0.45701538822750437,0.32281757460529786,
0,oracle_Qstar,141.45875549316406,51.141584722546305,4.210489070577808,0.08233004693578785,0.02789761946502025,
0,vanilla,162.23391723632812,88.11599318511524,78.51186903556622,0.8910058911851274,1.2196555707723717,
1,A_structured,198.29653930664062,133.77561906621338,48.54685123065384,0.3628976009942826,0.27459894715266203,
1,QDT_legacy,1421.6495361328125,1930.1631572090669,0.0,0.0,0.0,
1,QDT_td,3351.080810546875,990.634241574572,700.0515805220417,0.7066700817946074,0.22465132908203142,
1,QDT_qsa,1873.936767578125,1542.250553229853,688.4484255357219,0.4463920755897549,0.439526788333501,
1,oracle_Qstar,140.965087890625,49.12988189364824,4.653974642076081,0.09472798351419955,0.032445172226509424,
1,vanilla,170.405517578125,85.85732529422879,83.31229577522717,0.9703574562766785,1.2546687655995215,
2,A_structured,217.5900115966797,151.61798710731847,44.41074262088415,0.29291209749044667,0.2812078068104509,
2,QDT_legacy,1069.7186279296875,1313.2513740704271,0.0,0.0,0.0,
2,QDT_td,2326.244140625,736.6446267048764,395.5439117063361,0.5369535015488598,0.2295345430527886,
2,QDT_qsa,1352.16015625,1090.9948889806892,357.5472830153206,0.32772590103458243,0.4016129374818307,
2,oracle_Qstar,142.33078002929688,51.05917149762339,4.210701034076702,0.08246708496381877,0.0347001265923826,
2,vanilla,167.2654571533203,81.51017272844793,89.88912375683202,1.1027963841556154,1.2777088417444016,
3,A_structured,217.666259765625,169.70501833600147,36.72549267145795,0.21640781770368514,0.18819263450805288,
3,QDT_legacy,1499.2164306640625,1843.3987838155058,0.0,0.0,0.0,
3,QDT_td,3182.823974609375,1225.2807979723182,425.44482897415736,0.3472223099212962,0.15517120599705594,
3,QDT_qsa,1846.4752197265625,1525.3129619906222,478.9198738182255,0.31398138333080655,0.2874755652326849,
3,oracle_Qstar,142.31985473632812,51.81197462591211,3.199482761328467,0.06175180128588166,0.027238758332371583,
3,vanilla,173.4587860107422,103.42607066924819,79.7438457207847,0.7710226754703062,1.1247101869075604,
4,A_structured,202.77459716796875,149.50097787610864,54.02290152144145,0.3613548371985245,0.24327597651752492,
4,QDT_legacy,1098.0128173828125,1328.1347793548316,0.0,0.0,0.0,
4,QDT_td,2239.48876953125,667.0544267651144,465.4942715952805,0.6978355182390418,0.21198123497521648,
4,QDT_qsa,1301.9881591796875,1045.5875901568743,412.12973564519416,0.39416089051263553,0.32325190315675933,
4,oracle_Qstar,140.04202270507812,51.253597142938496,4.713381297400587,0.0919619609186782,0.03261469080481071,
4,vanilla,165.38088989257812,114.4669324273109,83.43333486792437,0.7288859157722816,1.2502582004902454,
5,A_structured,215.173828125,161.0330462491176,54.458812552980106,0.3381840797368541,0.311557234862814,
5,QDT_legacy,1180.7672119140625,1347.2999264604305,0.0,0.0,0.0,
5,QDT_td,2344.128662109375,757.2620975081137,400.7277014202365,0.5291796628127725,0.2178488327176308,
5,QDT_qsa,1382.6226806640625,1168.410191438449,347.75451841224924,0.29763050764228866,0.3540107149146879,
5,oracle_Qstar,140.02813720703125,50.78435880726168,4.14108874797974,0.08154260180178949,0.031182120500019693,
5,vanilla,177.51675415039062,108.50638298508102,91.62490491925746,0.8444194931081183,1.282407747833604,
6,A_structured,214.76719665527344,165.73262723785462,65.8501179912011,0.3973274248328601,0.29881548356764276,
6,QDT_legacy,1214.832275390625,1449.7931021978573,0.0,0.0,0.0,
6,QDT_td,2372.953125,777.8770108838212,560.5687912366826,0.7206393599417037,0.22653646037842787,
6,QDT_qsa,1377.4134521484375,1201.284231601039,543.1553929936962,0.4521456110930495,0.35701923322178997,
6,oracle_Qstar,138.92457580566406,50.947627837435654,4.1740891403638285,0.08192901843600188,0.03152430666047193,
6,vanilla,165.4383544921875,95.77290314439465,79.43125322743388,0.8293708410162441,1.1975701802581042,
7,A_structured,194.62684631347656,135.95945465751726,45.78808919305974,0.33677752906850233,0.23704619498215024,
7,QDT_legacy,1229.9058837890625,1301.2031780080742,0.0,0.0,0.0,
7,QDT_td,2140.37548828125,728.4418599006887,413.13561719740227,0.5671497478930256,0.2144770652831337,
7,QDT_qsa,1286.5992431640625,1112.1045237192984,362.87613607360254,0.326296789855694,0.32106582502681974,
7,oracle_Qstar,140.6732177734375,50.644555346254315,3.7228883987382213,0.07351014088849271,0.0269826684318311,
7,vanilla,159.09605407714844,78.85216677766935,73.66964435607198,0.9342754595925062,1.1997633263765932,
8,A_structured,204.17050170898438,145.72427960397934,33.11114764951668,0.22721778237298285,0.18150433338978356,
8,QDT_legacy,1115.94970703125,1466.000316366227,0.0,0.0,0.0,
8,QDT_td,2652.24365234375,834.6165281976328,337.14315236695734,0.40394976732011667,0.15563093643958148,
8,QDT_qsa,1466.17626953125,1244.8428235010192,402.4533009946667,0.32329647839620385,0.30946113241210466,
8,oracle_Qstar,139.49227905273438,50.806110188587226,3.008994950137573,0.05922506050883414,0.022961272135282935,
8,vanilla,162.86940002441406,78.1235601092335,85.67304292749249,1.0966351611178906,1.3132241947712073,
9,A_structured,224.3065948486328,171.72745777611297,69.00198600252729,0.4018110260066131,0.24617443201456962,
9,QDT_legacy,1064.03759765625,1338.2516800246453,0.0,0.0,0.0,
9,QDT_td,2355.228515625,661.1085993430496,491.41079926208306,0.7433132767451566,0.1873607262521158,
9,QDT_qsa,1355.4752197265625,1122.4044783402787,516.759367393863,0.4604038716577514,0.3134273607123453,
9,oracle_Qstar,140.5955352783203,50.08396993169379,4.548519510916649,0.09081787081016289,0.03084565299000908,
9,vanilla,176.3139190673828,138.42873458371844,84.79371309696057,0.6125441610945257,1.1271747038152788,
