seed,arm,nv,k,ratio,src,keep
5,dyna_greedy_k2,0.446,2.0,0.5,greedy,
5,dyna_greedy_k4,-1.431,4.0,0.5,greedy,
5,dyna_greedy_k8,-3.836,8.0,0.5,greedy,
5,dyna_greedy_r0.25,0.398,2.0,0.25,greedy,
5,dyna_greedy_r0.5,0.337,2.0,0.5,greedy,
5,dyna_greedy_r0.75,0.308,2.0,0.75,greedy,
5,filtBC_keep0.25,0.4,,,,0.25
5,filtBC_keep0.5,0.668,,,,0.5
6,real_BC,0.326,,,,
6,real_DT,0.552,,,,
6,dyna_bc_k1,0.36,1.0,0.5,bc,
6,dyna_bc_k2,0.522,2.0,0.5,bc,
6,dyna_bc_k4,0.319,4.0,0.5,bc,
6,dyna_bc_k8,0.636,8.0,0.5,bc,
6,dyna_bc_r0.25,0.075,2.0,0.25,bc,
6,dyna_bc_r0.5,0.17,2.0,0.5,bc,
6,dyna_bc_r0.75,0.212,2.0,0.75,bc,
6,dyna_greedy_k1,0.124,1.0,0.5,greedy,
6,dyna_greedy_k2,0.05,2.0,0.5,greedy,
6,dyna_greedy_k4,-1.772,4.0,0.5,greedy,
6,dyna_greedy_k8,-4.632,8.0,0.5,greedy,
6,dyna_greedy_r0.25,0.391,2.0,0.25,greedy,
6,dyna_greedy_r0.5,-0.023,2.0,0.5,greedy,
6,dyna_greedy_r0.75,-1.087,2.0,0.75,greedy,
6,filtBC_keep0.25,0.561,,,,0.25
6,filtBC_keep0.5,0.59,,,,0.5
7,real_BC,0.368,,,,
7,real_DT,0.091,,,,
7,dyna_bc_k1,0.348,1.0,0.5,bc,
7,dyna_bc_k2,0.296,2.0,0.5,bc,
7,dyna_bc_k4,0.219,4.0,0.5,bc,
7,dyna_bc_k8,0.241,8.0,0.5,bc,
7,dyna_bc_r0.25,0.325,2.0,0.25,bc,
7,dyna_bc_r0.5,0.153,2.0,0.5,bc,
7,dyna_bc_r0.75,0.007,2.0,0.75,bc,
7,dyna_greedy_k1,0.365,1.0,0.5,greedy,
7,dyna_greedy_k2,-1.262,2.0,0.5,greedy,
7,dyna_greedy_k4,-2.948,4.0,0.5,greedy,
7,dyna_greedy_k8,-4.425,8.0,0.5,greedy,
7,dyna_greedy_r0.25,0.209,2.0,0.25,greedy,
7,dyna_greedy_r0.5,-0.924,2.0,0.5,greedy,
