delta,seed,v_opt,fit_logmse_A,fit_logmse_B,target_A,target_B,inflation_A,inflation_B
1.0,0,415.33777241144094,0.23844289779663086,0.24940362572669983,711.589599609375,1251.39111328125,1.713279279844699,3.012948006187118
1.0,1,414.15027412029474,0.25237837433815,0.2571624219417572,566.925048828125,771.2980346679688,1.3688872958791163,1.8623627288580191
1.0,2,414.3658989484814,0.2574703097343445,0.26370325684547424,726.0993041992188,1078.3447265625,1.7523143338817453,2.602397372223364
1.0,3,414.1636297952846,0.24694158136844635,0.2642189562320709,705.8488159179688,1360.001708984375,1.704275231185462,3.2837304175081847
1.0,4,414.88256191206136,0.2561633586883545,0.26444581151008606,843.8743286132812,1106.410400390625,2.0340077074440868,2.6668038186313074
2.0,0,440.3890101031179,0.24620316922664642,0.2432207614183426,501.06005859375,486.26715087890625,1.1377669449027028,1.1041763979647128
2.0,1,437.6027497168074,0.25719085335731506,0.2512667179107666,439.20367431640625,407.6800842285156,1.003658397029349,0.9316213951862594
2.0,2,438.10068044273186,0.26961374282836914,0.25795307755470276,491.9637145996094,445.7969970703125,1.1229467028045816,1.0175674610224366
2.0,3,438.0269035129092,0.24955055117607117,0.24461442232131958,488.5697937011719,471.7166748046875,1.1153876389393353,1.0769125618120519
2.0,4,439.23110788159283,0.2654907703399658,0.25614482164382935,506.4331359863281,422.3030700683594,1.1529992454970914,0.9614598385463242
3.0,0,482.0567663873238,0.26380255818367004,0.23311355710029602,739.2438354492188,493.4617614746094,1.533520296767808,1.0236590291486996
3.0,1,478.31476059756255,0.2703426480293274,0.2609975337982178,668.5712280273438,427.2096862792969,1.3977641567910057,0.8931559748346054
3.0,2,479.19401594895845,0.2833819091320038,0.25993892550468445,718.4942016601562,478.3170471191406,1.499380580196325,0.9981699086369409
3.0,3,479.16279066906657,0.2554541528224945,0.2562905550003052,749.1077270507812,487.98760986328125,1.563367902596911,1.0184171629476746
3.0,4,480.6020270785201,0.2744027376174927,0.2519635856151581,686.9255981445312,468.7223815917969,1.4293023321607885,0.9752817407805432
4.0,0,524.0454352223886,0.3159423768520355,0.23601308465003967,766.8566284179688,496.1220397949219,1.4633399642008877,0.9467156976272164
4.0,1,519.6376500019389,0.3126989006996155,0.24671480059623718,762.017578125,500.89263916015625,1.4664402745300626,0.9639267654264222
4.0,2,520.5875004530128,0.35056644678115845,0.2545078694820404,774.51171875,465.85028076171875,1.4877647236555305,0.8948549098015953
4.0,3,520.5524054411868,0.308765709400177,0.24078714847564697,945.246826171875,502.3085632324219,1.8158533440465892,0.9649529192103097
4.0,4,522.255060378906,0.31660330295562744,0.2563127875328064,1014.2389526367188,485.4110107421875,1.9420375781536114,0.9294520006948569
