seed,arm,disc_ratio,nv_heldout
0,A_structured,0.4041548725014538,0.5155628580706374
0,B_unconstrained,0.08046704314932596,0.6170796770264203
0,QDT_td,0.6393009573194329,0.6662454185374665
0,QDT_qsa,0.4570154094776394,0.5280487530939508
0,oracle_Qstar,0.08233004693578785,0.6351510140702481
0,vanilla,0.8910058911851274,0.6729649534273957
0,potential_exact,0.120029677968521,0.6351510140702481
0,action_deleted,0.6082772851579006,0.6531577488089265
1,A_structured,0.3628976009942826,0.7296849863169673
1,B_unconstrained,0.1714404671507526,0.6737659465687981
1,QDT_td,0.7066700273615643,0.6547488824454437
1,QDT_qsa,0.44639208742898623,0.7252598853366816
1,oracle_Qstar,0.09472798351419955,0.5262401151182722
1,vanilla,0.9703574562766785,0.6991484764737593
1,potential_exact,0.14436500090936003,0.667526154592817
1,action_deleted,0.5474069749201048,0.7824995862053563
2,A_structured,0.29291209749044667,0.6710065955255388
2,B_unconstrained,0.09324808540625715,0.4260546080022612
2,QDT_td,0.5369533353899817,0.6549930497507164
2,QDT_qsa,0.32772588991593626,0.6003300090943022
2,oracle_Qstar,0.08246708496381877,0.4153659400578617
2,vanilla,1.1027963841556154,0.4153659400578617
2,potential_exact,0.12420985396017781,0.4166929242526738
2,action_deleted,0.45038497776868786,0.8267268305175917
3,A_structured,0.21640781770368514,0.7552155206516734
3,B_unconstrained,0.1027071868481557,0.367943785146731
3,QDT_td,0.3472224437513351,0.5900268242451648
3,QDT_qsa,0.3139814304283534,0.542474614212162
3,oracle_Qstar,0.06175180128588166,0.3627394187381789
3,vanilla,0.7710226754703062,0.3627394187381789
3,potential_exact,0.09897321814091752,0.3627394187381789
3,action_deleted,0.3335690929457435,0.7997802891485607
4,A_structured,0.3613548371985245,0.6526653836422273
4,B_unconstrained,0.1577292075519041,0.5045331059366038
4,QDT_td,0.6978356290639144,0.6808076208650324
4,QDT_qsa,0.3941610715664384,0.6956500405012457
4,oracle_Qstar,0.0919619609186782,0.703246676281589
4,vanilla,0.7288859157722816,0.6128806593560323
4,potential_exact,0.10582729341766363,0.6249381948458627
4,action_deleted,0.6022421120081564,0.7624509283997212
5,A_structured,0.3381840797368541,0.7844165391976878
5,B_unconstrained,0.13926943790249194,0.5645604319903637
5,QDT_td,0.5291794658144827,0.6554532377154367
5,QDT_qsa,0.29763047965594486,0.6045537810754159
5,oracle_Qstar,0.08154260180178949,0.5939299956196022
5,vanilla,0.8444194931081183,0.6585907761821342
5,potential_exact,0.11887150957839347,0.5695068858210961
5,action_deleted,0.4918688174247571,0.4431477148093101
6,A_structured,0.3973274248328601,0.5840821895100279
6,B_unconstrained,0.1582610130369118,0.3994530009336654
6,QDT_td,0.7206394936830431,0.717387816582098
6,QDT_qsa,0.45214563947481046,0.596462805206765
6,oracle_Qstar,0.08192901843600188,0.5490530609327118
6,vanilla,0.8293708410162441,0.6768786928870161
6,potential_exact,0.1060756878104081,0.5203084920608693
6,action_deleted,0.6371750949182932,0.7801181125739093
7,A_structured,0.33677752906850233,0.6393117586897689
7,B_unconstrained,0.13282023740192558,0.5628393908892915
7,QDT_td,0.5671497541273602,0.6994812990176407
7,QDT_qsa,0.3262967673104027,0.6418403766015673
7,oracle_Qstar,0.07351014088849271,0.5817343134135036
7,vanilla,0.9342754595925062,0.5538598189681601
7,potential_exact,0.0983330879662925,0.5810991722417184
7,action_deleted,0.516121427830194,0.8047246718835162
8,A_structured,0.22721778237298285,0.6925848382011895
8,B_unconstrained,0.08004354662237234,0.5269861224413975
8,QDT_td,0.40394986405927835,0.672614693238084
8,QDT_qsa,0.32329642884273113,0.6783442411594218
8,oracle_Qstar,0.05922506050883414,0.573858329997098
8,vanilla,1.0966351611178906,0.45778478968649927
8,potential_exact,0.11348382332709774,0.573858329997098
8,action_deleted,0.35760427058111954,0.5507447561553193
9,A_structured,0.4018110260066131,0.7832134372670505
9,B_unconstrained,0.15847714846520716,0.5381942487911549
9,QDT_td,0.743313297515763,0.6555372527662133
9,QDT_qsa,0.46040385238598086,0.609481893224578
9,oracle_Qstar,0.09081787081016289,0.618453112347051
9,vanilla,0.6125441610945257,0.6199406840095714
9,potential_exact,0.11707777513189124,0.5869132548703496
9,action_deleted,0.6438228545050776,0.6463767937473699
