N,K,seed,v_opt,incov_logmse_A,incov_logmse_B,oocov_logmse_A,oocov_logmse_B,inflation_A,inflation_B
100,11,0,482.0567663873238,0.4011643167853069,0.2799483556488355,,,1.6152201605890835,0.992043819093772
100,11,1,478.31476059756255,0.35723555017779696,0.35030062513780463,,,1.4628618907441666,0.9564905324424853
100,11,2,479.19401594895845,0.32086716567856155,0.2609246776977714,,,1.4191687861432787,0.9200282027818633
100,11,3,479.16279066906657,0.3626919525299013,0.42603343579068303,,,1.6108372488744747,1.0660173908885648
100,11,4,480.6020270785201,0.431881416885037,0.16833436735818627,,,1.6111553432946157,1.033703225811592
100,5,0,482.0567663873238,0.40540483862336685,0.2417793107449168,0.23255891680598637,0.33432512901535066,1.240480070438364,0.991591680345462
100,5,1,478.31476059756255,0.34387547626898024,0.1328170803904967,0.22712927969289295,0.16933692781178797,1.02481672618387,0.9069151943593108
100,5,2,479.19401594895845,0.39248736351366786,0.1822301865667738,0.2431081916167202,0.1932168932951788,1.0660994341229348,0.8964088180534212
100,5,3,479.16279066906657,0.4215429913640946,0.33913864885298656,0.22744365833524963,0.45828443301910343,1.1358085252347245,1.0091071776524323
100,5,4,480.6020270785201,0.3759191489311063,0.0809992706791706,0.23381927450411993,0.09432447565517603,1.1102518598957483,0.9315906082178224
100,3,0,482.0567663873238,1.1191213804941382,0.18887024567877947,0.597678766857915,0.2737893244921589,0.8790996610571586,0.9451058408363503
100,3,1,478.31476059756255,0.6053243338068667,0.21215065373738812,0.3174356604126149,0.27155633553543473,0.8092337573780215,0.9129910866466677
100,3,2,479.19401594895845,0.7448032257042919,0.23856620629465328,0.3855809938728257,0.13452125614608562,0.7836718975828412,0.8644091584170422
100,3,3,479.16279066906657,1.0493573479094462,0.3118737049410339,0.5431165489446168,0.6196299211534464,0.8692605980585049,1.0129826123637444
100,3,4,480.6020270785201,0.6945366110059655,0.22065988918179072,0.3490283547616179,0.35985229556377485,0.8388613760826599,0.9775988698824092
100,2,0,482.0567663873238,0.126778330893558,0.36151601508993825,0.7977232500267389,0.8203664665091813,0.6828005404264025,0.8461535474870081
100,2,1,478.31476059756255,0.024447979061843077,0.21139949755043752,0.6224868912137395,0.641153666560396,0.6562159543382673,0.8407494100345194
100,2,2,479.19401594895845,0.03807068700458587,0.03792837219976596,0.5248164862652136,0.3016164599697921,0.6428214535142835,0.7973196410323005
100,2,3,479.16279066906657,0.03598751268070011,0.36116048139633283,0.4499521444158777,0.9631491475488061,0.715034359008372,0.8966774723482427
100,2,4,480.6020270785201,0.09823822610131315,0.010514678948543275,0.7238776445744001,0.37034054316322196,0.6858951691202949,0.8782161225914079
50,11,0,482.0567663873238,0.41204986435609514,0.39164860072032803,,,1.5131296115646888,0.9666666930268347
50,11,1,478.31476059756255,0.3474893335050598,0.2837090823899093,,,1.3912643620741916,0.9491199640415606
50,11,2,479.19401594895845,0.37669369849014855,0.6295548600203694,,,1.3382558177767534,0.9928414296510668
50,11,3,479.16279066906657,0.37291139414488844,0.22401329396027572,,,1.4855320997464116,0.9655167053123703
50,11,4,480.6020270785201,0.3676781874417397,0.6291162094315925,,,1.525428741872609,0.9988639315393619
50,5,0,482.0567663873238,0.3773319727743069,0.282744749035959,0.25923519754173396,0.32990956456533777,1.1681086228647757,0.9072181077736788
50,5,1,478.31476059756255,0.3952946902895908,0.17938410620086342,0.2510029390593531,0.18354355700079636,1.0421080406054366,0.8697449997532244
50,5,2,479.19401594895845,0.44531194845144345,0.562082201388719,0.27472886902829874,0.7618325511695548,1.109132686144315,0.9666678853389382
50,5,3,479.16279066906657,0.40994568426156586,0.08006677176484914,0.2432764774292896,0.06514714486238724,1.0567067686995837,0.9333796841455306
50,5,4,480.6020270785201,0.3801411412004769,0.6956513313111926,0.2461773602130831,0.6448224665967097,1.131169964949358,0.9820889226604103
50,3,0,482.0567663873238,1.1636202362959538,0.23125888186604968,0.6742063908953624,0.34963872109226857,0.7871435532795386,0.8861211061305014
50,3,1,478.31476059756255,0.7757918823706637,0.3469255222273063,0.4204463034208128,0.3936194333453858,0.7583864567973068,0.9037216344249269
50,3,2,479.19401594895845,0.9770476624537862,0.25645021644269816,0.5114742958731395,0.6861700695253835,0.6954527056069096,0.9559460321241897
50,3,3,479.16279066906657,0.7606808137659785,0.17949005553542507,0.3780250018944667,0.1561718941028241,0.7976215802185489,0.9099507836907536
50,3,4,480.6020270785201,0.8264555760109678,0.6143741318288477,0.4470310690164742,0.7061285079496201,0.7436231854351812,0.9235867308499237
50,2,0,482.0567663873238,0.20020473214236945,0.5552543659686549,0.8799491038205959,1.2907655422086783,0.676049289721274,0.8958838085464057
50,2,1,478.31476059756255,0.07013903889778865,0.6158566051133617,0.640592358081764,0.803696267691262,0.6270206634449386,0.8501074836401429
50,2,2,479.19401594895845,0.17905262020021315,0.6346459557407388,0.8370210092384419,1.5006339819991836,0.6613262142382014,0.9614537213296941
50,2,3,479.16279066906657,0.13877300417277627,0.3223801141821502,0.7711463861886794,0.6833244366651968,0.6560858947399116,0.8810304580411703
50,2,4,480.6020270785201,0.09705082393871335,0.8900552128024152,0.7186021033645223,1.1476459044267184,0.6433745706033331,0.9058385417178905
