seed,arm,target_rule,target,nv,is_default
3,oracle_Qstar,q1.0,574.8,0.427,False
3,oracle_Qstar,max x1.25,718.5,0.39,False
3,oracle_Qstar,max x1.5,862.2,0.332,False
3,oracle_Qstar,max x2.0,1149.7,0.109,False
3,vanilla,q0.5,269.4,-0.701,False
3,vanilla,q0.75,397.7,0.142,False
3,vanilla,q0.9,531.0,0.38,False
3,vanilla,q0.95,601.8,0.417,True
3,vanilla,q0.99,731.4,0.43,False
3,vanilla,q1.0,1019.1,0.427,False
3,vanilla,max x1.25,1273.9,0.427,False
3,vanilla,max x1.5,1528.7,0.416,False
3,vanilla,max x2.0,2038.2,0.416,False
4,A_structured,q0.5,320.6,-0.833,False
4,A_structured,q0.75,486.5,-0.117,False
4,A_structured,q0.9,588.9,0.22,False
4,A_structured,q0.95,686.9,0.636,True
4,A_structured,q0.99,865.4,0.507,False
4,A_structured,q1.0,966.6,0.193,False
4,A_structured,max x1.25,1208.2,-0.276,False
4,A_structured,max x1.5,1449.9,-0.263,False
4,A_structured,max x2.0,1933.2,-0.263,False
4,QDT_td,q0.5,5937.1,-0.515,False
4,QDT_td,q0.75,6888.9,0.188,False
4,QDT_td,q0.9,7514.8,0.661,False
4,QDT_td,q0.95,7730.1,0.682,True
4,QDT_td,q0.99,8189.5,0.661,False
4,QDT_td,q1.0,8550.2,0.58,False
4,QDT_td,max x1.25,10687.7,-0.109,False
4,QDT_td,max x1.5,12825.2,-0.276,False
4,QDT_td,max x2.0,17100.3,-0.263,False
4,oracle_Qstar,q0.5,260.7,-0.504,False
4,oracle_Qstar,q0.75,364.9,-0.353,False
4,oracle_Qstar,q0.9,430.5,-0.192,False
4,oracle_Qstar,q0.95,474.6,0.208,True
4,oracle_Qstar,q0.99,551.2,0.397,False
4,oracle_Qstar,q1.0,574.8,0.47,False
4,oracle_Qstar,max x1.25,718.5,0.673,False
4,oracle_Qstar,max x1.5,862.2,0.583,False
4,oracle_Qstar,max x2.0,1149.7,0.452,False
4,vanilla,q0.5,262.5,-0.359,False
4,vanilla,q0.75,378.1,0.115,False
4,vanilla,q0.9,487.7,0.348,False
4,vanilla,q0.95,572.2,0.475,True
4,vanilla,q0.99,745.6,0.601,False
4,vanilla,q1.0,980.1,0.585,False
4,vanilla,max x1.25,1225.1,0.58,False
4,vanilla,max x1.5,1470.2,0.591,False
4,vanilla,max x2.0,1960.2,0.567,False
5,A_structured,q0.5,296.6,-0.623,False
5,A_structured,q0.75,487.5,-0.151,False
5,A_structured,q0.9,644.7,0.57,False
5,A_structured,q0.95,701.2,0.667,True
5,A_structured,q0.99,876.7,0.807,False
5,A_structured,q1.0,966.2,0.585,False
5,A_structured,max x1.25,1207.8,-0.197,False
5,A_structured,max x1.5,1449.4,-0.424,False
5,A_structured,max x2.0,1932.5,-0.563,False
5,QDT_td,q0.5,6072.2,-0.35,False
5,QDT_td,q0.75,7227.6,0.316,False
5,QDT_td,q0.9,7820.5,0.597,False
5,QDT_td,q0.95,8106.3,0.451,True
5,QDT_td,q0.99,8646.0,0.641,False
5,QDT_td,q1.0,8982.9,0.728,False
5,QDT_td,max x1.25,11228.7,-0.065,False
5,QDT_td,max x1.5,13474.4,-0.309,False
5,QDT_td,max x2.0,17965.9,-0.404,False
5,oracle_Qstar,q0.5,257.7,-0.117,False
5,oracle_Qstar,q0.75,364.9,0.301,False
5,oracle_Qstar,q0.9,443.7,0.36,False
5,oracle_Qstar,q0.95,472.5,0.381,True
5,oracle_Qstar,q0.99,551.2,0.478,False
5,oracle_Qstar,q1.0,574.8,0.519,False
5,oracle_Qstar,max x1.25,718.5,0.539,False
5,oracle_Qstar,max x1.5,862.2,0.563,False
5,oracle_Qstar,max x2.0,1149.7,0.591,False
5,vanilla,q0.5,265.1,0.222,False
5,vanilla,q0.75,411.2,0.338,False
5,vanilla,q0.9,530.4,0.401,False
5,vanilla,q0.95,620.6,0.414,True
5,vanilla,q0.99,724.0,0.425,False
5,vanilla,q1.0,903.3,0.56,False
5,vanilla,max x1.25,1129.1,0.56,False
5,vanilla,max x1.5,1354.9,0.611,False
5,vanilla,max x2.0,1806.5,0.659,False
6,A_structured,q0.5,313.5,-0.882,False
6,A_structured,q0.75,512.8,-0.064,False
6,A_structured,q0.9,660.7,0.574,False
6,A_structured,q0.95,739.5,0.697,True
6,A_structured,q0.99,876.8,0.512,False
6,A_structured,q1.0,1010.8,0.205,False
6,A_structured,max x1.25,1263.5,0.127,False
6,A_structured,max x1.5,1516.2,0.127,False
6,A_structured,max x2.0,2021.6,0.127,False
6,QDT_td,q0.5,6197.2,-0.547,False
6,QDT_td,q0.75,7249.0,0.344,False
6,QDT_td,q0.9,7960.0,0.516,False
6,QDT_td,q0.95,8200.0,0.574,True
6,QDT_td,q0.99,8655.8,0.676,False
6,QDT_td,q1.0,9082.2,0.732,False
6,QDT_td,max x1.25,11352.7,0.328,False
6,QDT_td,max x1.5,13623.3,0.211,False
6,QDT_td,max x2.0,18164.3,0.173,False
6,oracle_Qstar,q0.5,256.8,-0.882,False
6,oracle_Qstar,q0.75,364.9,-0.398,False
6,oracle_Qstar,q0.9,430.5,0.324,False
6,oracle_Qstar,q0.95,474.6,0.436,True
6,oracle_Qstar,q0.99,536.9,0.545,False
6,oracle_Qstar,q1.0,568.3,0.56,False
6,oracle_Qstar,max x1.25,710.4,0.488,False
6,oracle_Qstar,max x1.5,852.5,0.546,False
6,oracle_Qstar,max x2.0,1136.7,0.509,False
6,vanilla,q0.5,269.5,-0.201,False
6,vanilla,q0.75,387.8,0.093,False
6,vanilla,q0.9,502.8,0.542,False
6,vanilla,q0.95,562.5,0.552,True
6,vanilla,q0.99,707.2,0.664,False
6,vanilla,q1.0,903.7,0.65,False
6,vanilla,max x1.25,1129.6,0.65,False
6,vanilla,max x1.5,1355.5,0.643,False
6,vanilla,max x2.0,1807.4,0.642,False
7,A_structured,q0.5,294.9,-0.845,False
7,A_structured,q0.75,466.0,-0.266,False
7,A_structured,q0.9,574.2,0.385,False
7,A_structured,q0.95,656.2,0.612,True
7,A_structured,q0.99,761.2,0.577,False
7,A_structured,q1.0,878.0,0.523,False
7,A_structured,max x1.25,1097.4,0.08,False
7,A_structured,max x1.5,1316.9,0.005,False
7,A_structured,max x2.0,1755.9,-0.192,False
7,QDT_td,q0.5,5323.8,-0.59,False
7,QDT_td,q0.75,6513.1,0.145,False
7,QDT_td,q0.9,7235.1,0.556,False
7,QDT_td,q0.95,7531.0,0.645,True
7,QDT_td,q0.99,7881.4,0.65,False
7,QDT_td,q1.0,8241.6,0.669,False
7,QDT_td,max x1.25,10302.0,0.298,False
7,QDT_td,max x1.5,12362.4,-0.221,False
7,QDT_td,max x2.0,16483.2,-0.192,False
7,oracle_Qstar,q0.5,256.8,-0.845,False
7,oracle_Qstar,q0.75,361.3,-0.597,False
7,oracle_Qstar,q0.9,444.8,-0.104,False
7,oracle_Qstar,q0.95,477.7,0.097,True
7,oracle_Qstar,q0.99,551.1,0.412,False
7,oracle_Qstar,q1.0,574.8,0.411,False
7,oracle_Qstar,max x1.25,718.5,0.547,False
7,oracle_Qstar,max x1.5,862.2,0.296,False
7,oracle_Qstar,max x2.0,1149.7,0.199,False
7,vanilla,q0.5,254.6,-0.413,False
7,vanilla,q0.75,374.9,-0.106,False
7,vanilla,q0.9,481.6,0.051,False
7,vanilla,q0.95,548.6,0.091,True
7,vanilla,q0.99,668.3,0.318,False
7,vanilla,q1.0,816.1,0.462,False
7,vanilla,max x1.25,1020.1,0.529,False
7,vanilla,max x1.5,1224.1,0.526,False
7,vanilla,max x2.0,1632.1,0.553,False
8,A_structured,q0.5,341.4,-0.73,False
8,A_structured,q0.75,500.0,-0.283,False
8,A_structured,q0.9,604.3,0.307,False
8,A_structured,q0.95,715.0,0.683,True
8,A_structured,q0.99,836.7,0.624,False
8,A_structured,q1.0,966.7,0.421,False
8,A_structured,max x1.25,1208.4,-0.016,False
8,A_structured,max x1.5,1450.1,-0.016,False
8,A_structured,max x2.0,1933.4,-0.016,False
8,QDT_td,q0.5,7294.2,-0.344,False
8,QDT_td,q0.75,8356.4,0.547,False
8,QDT_td,q0.9,8838.3,0.647,False
8,QDT_td,q0.95,9052.9,0.665,True
8,QDT_td,q0.99,9542.4,0.664,False
8,QDT_td,q1.0,9716.9,0.665,False
8,QDT_td,max x1.25,12146.2,0.346,False
8,QDT_td,max x1.5,14575.4,0.206,False
8,QDT_td,max x2.0,19433.9,0.145,False
8,oracle_Qstar,q0.5,258.7,-0.412,False
8,oracle_Qstar,q0.75,364.9,-0.022,False
8,oracle_Qstar,q0.9,431.8,0.153,False
8,oracle_Qstar,q0.95,468.5,0.456,True
8,oracle_Qstar,q0.99,551.2,0.574,False
8,oracle_Qstar,q1.0,574.8,0.579,False
8,oracle_Qstar,max x1.25,718.5,0.471,False
8,oracle_Qstar,max x1.5,862.2,0.371,False
8,oracle_Qstar,max x2.0,1149.7,0.281,False
8,vanilla,q0.5,268.2,0.004,False
8,vanilla,q0.75,387.9,0.166,False
8,vanilla,q0.9,483.5,0.401,False
8,vanilla,q0.95,540.4,0.457,True
8,vanilla,q0.99,728.4,0.601,False
