seed,action,potential,nv,rtg_mean,rtg_std,eval_target
7,shuffle,mean,0.037,316.7,24.9,362.8
7,shuffle,shuffle,0.315,316.7,194.8,676.8
8,model,model,0.683,345.1,204.2,715.0
8,model,oracle,0.339,257.9,139.4,462.7
8,model,mean,-3.106,345.1,26.9,389.5
8,model,shuffle,0.209,345.1,208.8,707.0
8,oracle,model,0.659,345.1,204.7,695.1
8,oracle,oracle,0.456,257.9,139.5,468.5
8,oracle,mean,-3.81,345.1,24.6,377.8
8,oracle,shuffle,0.282,345.1,206.7,711.2
8,mean,model,0.567,345.1,205.7,715.5
8,mean,oracle,0.457,257.9,138.2,481.8
8,mean,mean,0.409,345.1,0.0,345.1
8,mean,shuffle,0.497,345.1,205.7,715.5
8,shuffle,model,0.61,345.1,207.6,714.5
8,shuffle,oracle,0.457,257.9,141.2,487.3
8,shuffle,mean,0.276,345.1,26.9,389.5
8,shuffle,shuffle,0.261,345.1,206.7,706.3
9,model,model,0.723,369.6,224.3,757.4
9,model,oracle,0.207,263.2,142.9,492.0
9,model,mean,-1.362,369.6,30.7,419.4
9,model,shuffle,0.364,369.6,225.8,776.7
9,oracle,model,0.716,366.3,222.4,743.9
9,oracle,oracle,0.198,259.8,140.6,476.0
9,oracle,mean,-3.056,366.3,24.4,398.0
9,oracle,shuffle,0.393,366.3,224.7,759.8
9,mean,model,0.667,369.6,224.0,753.3
9,mean,oracle,0.259,263.2,138.8,486.2
9,mean,mean,0.706,369.6,0.0,369.6
9,mean,shuffle,0.625,369.6,224.0,753.3
9,shuffle,model,0.647,369.6,224.8,764.3
9,shuffle,oracle,0.277,263.2,141.5,491.8
9,shuffle,mean,0.569,369.6,30.7,419.4
9,shuffle,shuffle,0.53,369.6,224.5,749.0
