seed,arm,spread_total,spread_between,spread_within,disc_ratio,action_gap,rank_corr_action
0,A_structured,28.60135269165039,5.853234474545778,1.4774371545545433,0.25241379975115297,0.2520218123468814,-0.25209712346324376
0,oracle_Qstar,25.670703887939453,8.297037938353046,3.428919960601498,0.41327037264121935,0.3071550926713067,1.0
0,QDT_td,35.1729850769043,9.444057677144732,11.476537072056798,1.2152125139844079,1.2071465847265175,0.23715536541756224
0,vanilla,39.29701614379883,9.80462731133445,40.05337891196718,4.085150576367574,2.7793545083266102,0.08255786799029108
1,A_structured,28.478599548339844,5.879337147544137,1.702431201807181,0.28956175825336106,0.2534561629724652,-0.32046925932994313
1,oracle_Qstar,25.876718521118164,8.479678609335657,3.4368213230818756,0.40530089422235005,0.2848937574024727,1.0
1,QDT_td,44.43915939331055,10.418784923211904,14.465881923788737,1.3884423212883825,0.9460744394364059,0.3253490965397847
1,vanilla,37.629608154296875,12.215231986068131,37.247605157339734,3.0492752982359925,2.7735479184256073,0.10698281567567852
2,A_structured,28.916799545288086,6.64373657793214,2.2419056870653256,0.33744650480454746,0.26312425396254785,-0.364032295203817
2,oracle_Qstar,25.896286010742188,9.57402794479366,3.65099021874051,0.3813431754944806,0.2924087104203764,1.0
2,QDT_td,35.47549819946289,10.720570979825885,13.01838686128162,1.2143370801592375,1.261069521835901,0.24578887368913618
2,vanilla,40.06227493286133,10.6490532500331,42.30518958807188,3.9726714286023865,2.761863920847376,0.07408448002428845
3,A_structured,28.67641258239746,5.9434091341212945,1.1463633625266327,0.19287976591504116,0.21346306386199462,-0.5034715010053374
3,oracle_Qstar,25.54875373840332,8.204846195258515,2.824161834164139,0.34420655390178906,0.2935775944165608,1.0
3,QDT_td,32.56653594970703,8.638024911309902,9.642075870079308,1.116236173092623,1.3054727344433381,0.20160049107744107
3,vanilla,38.902488708496094,10.373763856447209,37.29724923022378,3.5953439606246524,2.8178323108472965,0.018428032918175043
4,A_structured,28.700857162475586,5.781584228324678,1.2768140087517974,0.22084154763265954,0.23974761388083451,-0.2801564039447244
4,oracle_Qstar,26.183822631835938,8.649301047815205,2.674985621014116,0.3092718829216624,0.29149301847690284,1.0
4,QDT_td,39.99365234375,12.492580000212776,12.170339048874023,0.9742054122260363,1.0634444998843027,0.2862747428490226
4,vanilla,37.88807678222656,10.902967830076962,38.08637208817668,3.4932114523085627,2.6442204180842737,0.0824078294021271
5,A_structured,28.924001693725586,5.871135060146957,1.0772494145656213,0.1834823085365468,0.23768863506178234,-0.4027491167521551
5,oracle_Qstar,25.582965850830078,8.028397710549422,3.284591534841659,0.4091216769848935,0.325397155549541,1.0
5,QDT_td,30.644201278686523,9.732890218880147,9.995018983603416,1.0269322635751899,1.4567980270444956,0.17512358601987849
5,vanilla,38.035831451416016,9.793439976207011,38.57066264161435,3.938418240712261,2.875358904835906,0.04377449267039035
6,A_structured,28.686594009399414,6.22780916425493,1.835036474957819,0.2946520078826717,0.23619393997793792,-0.2578206631733278
6,oracle_Qstar,25.83302116394043,9.009135589476944,3.354077652859284,0.3722973885282613,0.283604926884114,1.0
6,QDT_td,35.47239685058594,11.47572875475623,10.844740678867165,0.9450154243470119,1.2765418107816158,0.2612186976895144
6,vanilla,38.443973541259766,10.590064689733019,37.78799832441778,3.568249999554104,2.7935861418923107,0.12513277208169973
7,A_structured,28.42792320251465,6.365829706491474,2.4304862148793798,0.38180195307469855,0.27816240484102367,-0.35448280467264687
7,oracle_Qstar,25.809568405151367,8.994975380938957,4.066045648718564,0.45203521705404853,0.32518934849833675,1.0
7,QDT_td,38.5936393737793,12.672745316371257,11.59142061670334,0.9146732083165113,1.1158755758561463,0.3324397113998743
7,vanilla,38.70622253417969,13.426488145014892,38.919345661564805,2.898698843749036,2.647813074881222,0.0731647286556675
8,A_structured,27.971223831176758,5.9931869791541175,1.413852993208301,0.2359100422072687,0.23187645572724197,-0.24675525479035018
8,oracle_Qstar,25.17235565185547,8.430192882295037,2.976329131463653,0.35305587582871256,0.26340606114371296,1.0
8,QDT_td,30.76188850402832,9.68654316047737,11.064761462690381,1.1422817489562591,1.4210539313281858,0.0939458616385623
8,vanilla,36.983707427978516,9.826695857856198,35.641430521809596,3.627000472729108,2.66180664695601,0.021634293524340393
9,A_structured,28.682912826538086,6.0787743763275985,1.7352159494809773,0.28545490292227005,0.19539953937755106,-0.4741908315252938
9,oracle_Qstar,25.178258895874023,8.483987429085659,3.166351676889602,0.37321503636773395,0.2535705278129444,1.0
9,QDT_td,29.81954002380371,9.207385932110748,11.719074825067942,1.2727906608321566,1.4892401601911678,0.13891786298910994
9,vanilla,36.07691955566406,8.671094483261472,35.40705513388628,4.083343250639863,2.678094263432725,0.09538097725933237
